timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1281000600,Aug 05 2010 - 9:30am,complete,N/A,Melbourne City FC,Central Coast Mariners,Chris Beath,1,0.00,0.00,1.20,1.71,0,1,1,1,0,1,"","16",-1,-1,2,0,3,0,0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AAMI Park (Melbourne)
1281088800,Aug 06 2010 - 10:00am,complete,N/A,Adelaide United,Newcastle Jets FC,N/A,1,0.00,0.00,2.00,0.73,0,0,0,0,0,0,"","",-1,-1,2,0,1,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Coopers Stadium (Adelaide)
1281096000,Aug 06 2010 - 12:00pm,complete,N/A,Perth Glory FC,Northern Fury FC,N/A,1,0.00,0.00,1.07,0.47,3,3,6,2,1,1,"5,74,79","35,64,90",-1,-1,3,0,3,0,2,1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HBF Park (Perth)
1281175200,Aug 07 2010 - 10:00am,complete,N/A,Sydney FC,Melbourne Victory FC,N/A,1,0.00,0.00,1.40,1.06,3,3,6,1,1,0,"36,53,86","66,68,73",-1,-1,1,0,2,0,1,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Stadium (Sydney)
1281243600,Aug 08 2010 - 5:00am,complete,N/A,Gold Coast United FC,Brisbane Roar,Peter Green,1,0.00,0.00,1.81,2.06,0,0,0,0,0,0,"","",-1,-1,4,0,1,0,3,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cbus Super Stadium (Gold Coast)
1281684600,Aug 13 2010 - 7:30am,complete,N/A,Wellington Phoenix,Gold Coast United FC,Peter O'Leary,2,0.00,0.00,2.20,1.35,3,3,6,3,2,1,"7,38,56","36,75,87",-1,-1,3,0,3,0,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sky Stadium (Wellington)
1281693600,Aug 13 2010 - 10:00am,complete,N/A,Newcastle Jets FC,Melbourne City FC,N/A,2,0.00,0.00,1.60,1.13,1,1,2,0,0,0,"60","79",-1,-1,3,0,0,0,1,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,McDonald Jones Stadium (Newcastle)
1281770100,Aug 14 2010 - 7:15am,complete,N/A,Northern Fury FC,Sydney FC,Peter Green,2,0.00,0.00,0.80,0.87,2,1,3,0,0,0,"65,83","82",-1,-1,2,0,3,0,0,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1300SMILES Stadium (Townsville)
1281778200,Aug 14 2010 - 9:30am,complete,N/A,Melbourne Victory FC,Perth Glory FC,N/A,2,0.00,0.00,1.73,0.47,0,2,2,1,0,1,"","23,49",-1,-1,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AAMI Park (Melbourne)
1281848400,Aug 15 2010 - 5:00am,complete,N/A,Central Coast Mariners,Adelaide United,Kristian Griffiths-Jones,2,0.00,0.00,1.94,1.27,1,1,2,1,0,1,"86","45",-1,-1,3,0,3,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Central Coast Stadium (Gosford)
