team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Perth Glory FC,Perth Glory FC,2009/2010,Australia,28,13,15,0,11,8,3,7,4,3,10,1,9,1.43,2.15,0.8,5,5,9,5,41,35,6,76,31,45,23,18,8,27,15,-9,62,51,75,72,145,50,9,7,2,16,6,10,5,1,4,15,10,5,0,0,0,57,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,6,15,2,13,5,12,-7,8,6,2,12,7,5,8,0,8,1.29,1.92,0.73,2.71,2.38,3,1.46,1.77,1.2,1.25,0.62,1.8,1.25,1.23,1.27,0.71,1.08,0.4,0.54,0.15,0.87,26,22,13,7,4,2,12,11,5,3,0,0,14,11,8,4,4,2,2,6,15,21,24,26,1,2,8,10,13,13,1,4,7,11,11,13,93,79,46,25,14,7,92,85,38,23,0,0,93,73,53,27,27,13,7,21,54,75,86,93,8,15,62,77,100,100,7,27,47,73,73,87,20,10,3,8,6,2,12,4,1,71,36,11,62,46,15,80,27,7,39,62,20,36,32,54,13,57,46,67,18,8,27,54,77,33,16,11,5,57,85,33,15,5,10,54,38,67,5,2,3,18,15,20,29,46,13,43,54,33,29,0,53,0.00,0.00,0.00,2.11,1.92,2.27,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,71,5,6,4,1,5,4,6,7,3,4,3,4,3,3,5,2,3,8,25,31,20,36,8,60,0
Adelaide United FC,Adelaide United,2009/2010,Australia,27,14,13,0,7,4,3,8,5,3,12,5,7,1.07,1.21,0.92,10,9,8,10,24,33,-9,57,34,23,15,9,19,14,-4,-5,101,84,130,74,66,83,6,3,3,12,7,5,10,4,6,10,6,4,0,0,0,44,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,13,7,6,-2,1,-3,7,6,1,11,3,8,9,5,4,1.19,1.5,0.85,2.11,2.43,1.77,0.89,1.07,0.69,1.22,1.36,1.08,0.89,1.07,0.69,0.41,0.57,0.23,0.48,0.5,0.46,26,19,6,3,2,1,14,12,3,2,2,1,12,7,3,1,0,0,1,8,21,24,25,26,0,2,11,12,12,13,1,6,10,12,13,13,96,70,22,11,7,4,100,86,21,14,14,7,92,54,23,8,0,0,4,30,78,89,93,96,0,14,79,86,86,93,8,46,77,92,100,100,19,4,1,12,2,1,7,2,0,70,15,4,86,14,7,54,15,0,26,29,23,5,22,21,23,44,50,38,37,29,46,37,43,31,14,7,7,52,50,54,17,7,10,63,50,77,4,2,2,15,14,15,26,43,8,41,21,62,33,36,31,0.00,0.00,0.00,1.63,1.93,1.31,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,44,2,2,3,2,2,5,1,3,4,4,2,1,4,3,3,4,5,7,30,36,23,44,36,54,0
Central Coast Mariners FC,Central Coast Mariners,2009/2010,Australia,27,13,14,0,7,3,4,9,7,2,11,3,8,1.11,1.23,1,8,10,4,8,32,29,3,61,27,34,14,18,13,16,1,2,76,83,70,84,90,79,9,5,4,11,6,5,11,5,6,11,5,6,0,0,0,50,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,10,14,3,11,2,3,-1,9,4,5,10,8,2,8,1,7,1.37,1.54,1.21,2.26,2.08,2.43,1.19,1.08,1.29,1.07,1,1.14,1.11,0.69,1.5,0.59,0.46,0.71,0.52,0.23,0.79,23,19,12,4,2,1,10,10,5,1,1,0,13,9,7,3,1,1,4,8,15,23,25,26,3,3,8,12,12,13,1,5,7,11,13,13,85,70,44,15,7,4,77,77,38,8,8,0,93,64,50,21,7,7,15,30,56,85,93,96,23,23,62,92,92,100,7,36,50,79,93,93,19,8,3,6,2,1,13,6,2,70,30,11,46,15,8,93,43,14,26,23,29,-1,33,38,29,41,46,36,41,38,43,41,38,43,17,11,6,63,85,43,14,7,7,52,54,50,4,2,2,15,15,14,33,31,36,37,62,14,30,8,50,0.00,0.00,0.00,2.08,2,2.17,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,63,4,5,2,4,4,2,4,4,3,3,5,2,2,4,1,3,7,2,33,54,14,41,23,57,0
Brisbane Roar FC,Brisbane Roar,2009/2010,Australia,27,14,13,0,8,5,3,6,2,4,13,7,6,1.11,1.21,1,9,8,7,9,32,42,-10,74,32,42,14,18,18,24,-4,-6,76,90,65,58,70,49,6,4,2,14,5,9,7,5,2,13,6,7,0,0,0,61,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,10,17,9,8,-1,-3,2,7,3,4,11,6,5,9,5,4,1.19,1.07,1.31,2.74,2.29,3.23,1.19,1,1.38,1.56,1.29,1.85,1.22,1.07,1.38,0.59,0.43,0.77,0.63,0.64,0.62,27,21,11,7,5,3,14,8,4,3,2,1,13,13,7,4,3,2,0,6,16,20,22,24,0,6,10,11,12,13,0,0,6,9,10,11,100,78,41,26,19,11,100,57,29,21,14,7,100,100,54,31,23,15,0,22,59,74,81,89,0,43,71,79,86,93,0,0,46,69,77,85,20,10,2,10,5,0,10,5,2,74,37,7,71,36,0,77,38,15,30,36,23,1,22,29,15,52,36,69,26,36,15,48,43,54,12,7,5,44,50,38,16,9,7,59,64,54,6,2,4,22,14,31,26,21,31,41,43,38,33,36,31,0.00,0.00,0.00,2.26,2.43,2.08,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,70,2,5,5,3,2,4,1,3,7,7,2,2,4,3,8,7,7,2,22,14,31,48,50,46,0
Newcastle Jets FC,Newcastle Jets FC,2009/2010,Australia,29,13,16,0,10,7,3,5,0,5,14,6,8,1.21,1.62,0.88,6,7,5,6,34,48,-14,82,42,40,20,14,22,26,-2,-12,77,58,102,54,53,55,5,2,3,16,8,8,9,3,6,17,9,8,0,0,0,57,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,7,24,11,13,-4,2,-6,8,5,3,13,6,7,8,2,6,1.28,1.62,1,2.83,3.23,2.5,1.17,1.54,0.88,1.66,1.69,1.63,1.52,1.85,1.25,0.69,1,0.44,0.83,0.85,0.81,28,25,16,9,4,0,13,10,9,6,4,0,15,15,7,3,0,0,1,4,13,20,25,29,0,3,4,7,9,13,1,1,9,13,16,16,97,86,55,31,14,0,100,77,69,46,31,0,94,94,44,19,0,0,3,14,45,69,86,100,0,23,31,54,69,100,6,6,56,81,100,100,24,14,5,11,8,4,13,6,1,83,48,17,85,62,31,81,38,6,34,54,19,15,17,15,19,55,62,50,31,23,38,59,69,50,10,4,6,34,31,38,13,4,9,45,31,56,11,7,4,38,54,25,28,38,19,45,46,44,28,15,38,0.00,0.00,0.00,2.04,1.92,2.13,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,69,3,4,5,5,5,5,1,0,6,1,4,7,7,8,2,3,8,6,17,0,31,48,46,50,0
Sydney FC,Sydney FC,2009/2010,Australia,31,16,15,0,16,12,4,5,1,4,10,3,7,1.71,2.31,1.07,1,1,2,1,43,30,13,73,44,29,29,14,15,15,14,-1,65,50,97,93,96,90,11,6,5,14,8,6,9,2,7,16,12,4,0,0,0,53,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,8,13,6,7,8,7,1,9,6,3,16,8,8,6,2,4,1.39,1.63,1.13,2.35,2.75,1.93,1.39,1.81,0.93,0.97,0.94,1,1.1,1.19,1,0.68,0.81,0.53,0.42,0.38,0.47,28,18,14,8,4,1,16,10,8,6,3,1,12,8,6,2,1,0,3,13,17,23,27,30,0,6,8,10,13,15,3,7,9,13,14,15,90,58,45,26,13,3,100,63,50,38,19,6,80,53,40,13,7,0,10,42,55,74,87,97,0,37,50,62,81,94,20,47,60,87,93,100,19,10,5,11,6,2,8,4,3,61,32,16,69,38,13,53,27,20,52,75,27,17,35,38,33,45,50,40,29,13,47,52,75,27,19,10,9,61,63,60,17,7,10,55,44,67,7,4,3,23,25,20,29,38,20,52,50,53,19,13,27,0.00,0.00,0.00,1.96,1.43,2.54,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,65,1,7,6,5,6,4,5,6,3,0,3,3,4,3,7,1,3,5,16,6,27,32,19,47,0
Melbourne Victory FC,Melbourne Victory FC,2009/2010,Australia,30,16,14,0,15,8,7,7,5,2,8,3,5,1.73,1.81,1.64,2,4,1,2,52,36,16,88,51,37,31,21,20,16,11,5,52,46,60,75,72,79,9,5,4,15,8,7,7,4,3,16,10,6,0,0,0,52,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,9,23,13,10,2,3,-1,11,8,3,11,4,7,8,4,4,1.47,1.75,1.14,2.93,3.19,2.64,1.73,1.94,1.5,1.2,1.25,1.14,1.6,1.81,1.36,0.83,1,0.64,0.77,0.81,0.71,29,25,16,10,4,2,15,15,9,6,2,2,14,10,7,4,2,0,1,5,14,20,26,28,1,1,7,10,14,14,0,4,7,10,12,14,97,83,53,33,13,7,94,94,56,38,13,13,100,71,50,29,14,0,3,17,47,67,87,93,6,6,44,62,87,87,0,29,50,71,86,100,25,13,6,14,8,4,11,5,2,83,43,20,88,50,25,79,36,14,50,50,50,4,30,31,29,50,50,50,23,25,21,53,63,43,14,8,6,47,50,43,11,5,6,37,31,43,10,5,5,33,31,36,37,50,21,37,25,50,27,25,29,0.00,0.00,0.00,1.79,1.33,2.29,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,77,8,5,3,5,4,4,6,4,12,2,9,5,4,4,5,2,3,2,23,31,14,27,19,36,0
Wellington Phoenix FC,Wellington Phoenix,2009/2010,New Zealand,30,15,15,0,11,8,3,11,6,5,8,1,7,1.47,2,0.93,4,2,6,4,43,35,8,78,38,40,29,14,9,26,20,-12,63,47,97,77,150,52,10,6,4,16,8,8,6,2,4,14,10,4,0,0,0,62,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,8,17,4,13,1,6,-5,10,7,3,14,7,7,6,1,5,1.47,1.87,1.07,2.6,2.53,2.67,1.43,1.93,0.93,1.17,0.6,1.73,1.17,0.93,1.4,0.6,0.67,0.53,0.57,0.27,0.87,28,24,12,8,4,2,14,12,7,3,1,1,14,12,5,5,3,1,2,6,18,22,26,28,1,3,8,12,14,14,1,3,10,10,12,14,93,80,40,27,13,7,93,80,47,20,7,7,93,80,33,33,20,7,7,20,60,73,87,93,7,20,53,80,93,93,7,20,67,67,80,93,22,9,3,11,3,0,11,6,3,73,30,10,73,20,0,73,40,20,37,53,20,42,33,40,27,53,53,53,20,13,27,47,67,27,18,11,7,60,73,47,13,5,8,43,33,53,7,3,4,23,20,27,33,47,20,47,47,47,20,7,33,0.00,0.00,0.00,2.14,2.4,1.86,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,53,2,2,9,3,5,6,1,6,7,2,7,4,2,2,3,5,2,8,37,40,33,27,7,47,0
Northern Fury FC,Northern Fury FC,2009/2010,Australia,27,13,14,0,8,6,2,8,3,5,11,4,7,1.19,1.62,0.79,7,6,10,7,29,46,-17,75,34,41,16,13,18,28,-2,-15,84,73,97,53,65,45,4,2,2,16,9,7,7,2,5,8,5,3,0,0,0,45,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,21,8,13,-11,-1,-10,5,5,0,9,3,6,13,5,8,0.89,1.38,0.43,2.78,2.62,2.93,1.07,1.23,0.93,1.7,1.38,2,1.15,1.15,1.14,0.37,0.54,0.21,0.78,0.62,0.93,27,23,11,6,6,2,13,10,6,2,2,1,14,13,5,4,4,1,0,4,16,21,21,25,0,3,7,11,11,12,0,1,9,10,10,13,100,85,41,22,22,7,100,77,46,15,15,8,100,93,36,29,29,7,0,15,59,78,78,93,0,23,54,85,85,92,0,7,64,71,71,93,20,8,3,11,3,1,9,5,2,74,30,11,85,23,8,64,36,14,30,46,14,17,15,15,14,59,69,50,26,15,36,30,38,21,12,7,5,44,54,36,17,6,11,63,46,79,5,2,3,19,15,21,19,38,0,33,23,43,48,38,57,0.00,0.00,0.00,1.96,2,1.92,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,63,3,1,0,4,2,3,6,5,5,5,4,6,4,5,5,6,3,8,30,23,36,41,31,50,0
Gold Coast United FC,Gold Coast United FC,2009/2010,Australia,28,15,13,0,13,9,4,6,3,3,9,3,6,1.61,2,1.15,3,3,3,3,39,35,4,74,36,38,25,14,11,24,14,-10,65,54,83,72,123,49,10,7,3,12,6,6,8,4,4,14,8,6,0,0,0,60,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,5,15,6,9,0,4,-4,10,6,4,9,6,3,9,3,6,1.39,1.6,1.15,2.64,2.4,2.92,1.39,1.67,1.08,1.25,0.73,1.85,1.07,1.07,1.08,0.54,0.67,0.38,0.54,0.4,0.69,26,20,13,8,5,2,13,10,6,3,3,1,13,10,7,5,2,1,2,8,15,20,23,26,2,5,9,12,12,14,0,3,6,8,11,12,93,71,46,29,18,7,87,67,40,20,20,7,100,77,54,38,15,8,7,29,54,71,82,93,13,33,60,80,80,93,0,23,46,62,85,92,22,6,1,11,3,1,11,3,0,79,21,4,73,20,7,85,23,0,46,60,31,31,36,47,23,43,40,46,29,27,31,50,53,46,16,10,6,57,67,46,15,7,8,54,47,62,3,2,1,11,13,8,36,40,31,32,40,23,32,20,46,0.00,0.00,0.00,2.22,1.93,2.58,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,79,1,5,1,4,4,8,7,5,4,3,3,4,2,4,6,5,2,6,21,20,23,32,20,46,0
