timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1501266600,Jul 28 2017 - 6:30pm,complete,11500,Royal Antwerp FC,RSC Anderlecht,N/A,1,0.00,0.00,1.27,1.55,0,0,0,0,0,0,"","",5,5,3,0,0,0,1,2,0,0,4,14,3,7,1,7,13,3,40,60,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.28,4.07,1.69,0.00,0.00,0.00,0.00,0.00,0.00,Bosuilstadion
1501344000,Jul 29 2017 - 4:00pm,complete,7441,KSC Lokeren,Club Brugge,N/A,1,0.00,0.00,0.67,1.55,0,4,4,3,0,3,"","5,17,24,55",5,6,3,0,1,1,1,2,2,0,12,7,5,2,7,5,8,9,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.93,3.93,1.76,0.00,0.00,0.00,0.00,0.00,0.00,Daknamstadion
1501351200,Jul 29 2017 - 6:00pm,complete,13545,KRC Genk,Waasland-Beveren,N/A,1,0.00,0.00,1.45,0.93,3,3,6,1,0,1,"70,80,82","45,47,90'2",5,2,1,0,2,0,0,1,1,1,8,6,2,3,6,3,12,16,62,38,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,5.12,8.69,0.00,0.00,0.00,0.00,0.00,0.00,Luminus Arena
1501351200,Jul 29 2017 - 6:00pm,complete,2543,AS Eupen,Zulte-Waregem,N/A,1,0.00,0.00,1.53,1.33,0,5,5,1,0,1,"","34,55,59,65,87",2,7,2,0,2,0,1,1,1,1,4,9,2,5,2,4,11,15,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.88,3.55,2.52,0.00,0.00,0.00,0.00,0.00,0.00,Stadion am Kehrweg
1501353000,Jul 29 2017 - 6:30pm,complete,8567,Sporting Charleroi,KV Kortrijk,N/A,1,0.00,0.00,1.55,1.07,1,0,1,1,1,0,"11","",-1,-1,2,0,1,0,0,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,4.02,5.63,0.00,0.00,0.00,0.00,0.00,0.00,Stade du Pays de Charleroi
1501417800,Jul 30 2017 - 12:30pm,complete,13700,KV Mechelen,Standard Liège,N/A,1,0.00,0.00,1.27,1.20,1,1,2,2,1,1,"7","8",2,3,3,0,3,0,0,3,1,2,6,5,2,0,4,5,18,25,54,46,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.52,3.50,2.92,0.00,0.00,0.00,0.00,0.00,0.00,AFAS-stadion Achter de Kazerne
1501430400,Jul 30 2017 - 4:00pm,complete,6000,Sint-Truiden,KAA Gent,N/A,1,0.00,0.00,1.80,1.35,3,2,5,1,0,1,"63,72,88","39,75",1,9,2,0,4,0,1,1,0,4,13,9,7,4,6,5,18,14,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.59,3.52,2.16,0.00,0.00,0.00,0.00,0.00,0.00,Stayen (Sint-Truiden (St.-Trond))
1501437600,Jul 30 2017 - 6:00pm,complete,5343,KV Oostende,Royal Excel Mouscron,N/A,1,0.00,0.00,1.20,0.73,0,1,1,0,0,0,"","65",5,1,3,1,2,0,0,4,1,1,9,8,5,4,4,4,21,10,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.54,4.61,6.31,0.00,0.00,0.00,0.00,0.00,0.00,Versluys Arena
1501871400,Aug 04 2017 - 6:30pm,complete,24200,Standard Liège,KRC Genk,N/A,2,0.00,0.00,2.05,1.55,2,1,3,1,0,1,"48,63","36",5,6,3,0,4,0,1,2,3,1,4,7,2,4,2,3,16,15,48,52,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.29,3.46,3.34,0.00,0.00,0.00,0.00,0.00,0.00,Stade Maurice Dufrasne
1501948800,Aug 05 2017 - 4:00pm,complete,3900,Royal Excel Mouscron,Sporting Charleroi,N/A,2,0.00,0.00,1.27,1.40,2,5,7,4,1,3,"45'4,63","3,30,43,53,60",4,3,3,1,1,0,1,3,1,0,10,3,4,3,6,0,12,13,60,40,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.39,3.41,2.29,0.00,0.00,0.00,0.00,0.00,0.00,Stade Le Canonnier
1501956000,Aug 05 2017 - 6:00pm,complete,5437,KV Kortrijk,KSC Lokeren,N/A,2,0.00,0.00,1.73,1.40,1,0,1,1,1,0,"13","",14,4,1,0,4,0,0,1,1,3,20,12,10,6,10,6,15,22,54,46,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.46,3.54,0.00,0.00,0.00,0.00,0.00,0.00,Guldensporenstadion
1501956000,Aug 05 2017 - 6:00pm,complete,4325,Waasland-Beveren,KV Mechelen,N/A,2,0.00,0.00,1.40,0.53,2,2,4,2,1,1,"33,46","35,75",4,4,2,0,4,0,0,2,0,4,16,10,9,4,7,6,19,14,54,46,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.40,2.96,0.00,0.00,0.00,0.00,0.00,0.00,Freethielstadion
1501957800,Aug 05 2017 - 6:30pm,complete,8440,Zulte-Waregem,Sint-Truiden,N/A,2,0.00,0.00,1.13,0.67,2,0,2,0,0,0,"57,82","",11,1,2,0,2,1,2,0,1,2,13,3,6,3,7,0,12,17,61,39,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.93,3.66,4.30,0.00,0.00,0.00,0.00,0.00,0.00,Regenboogstadion
1502022600,Aug 06 2017 - 12:30pm,complete,20000,KAA Gent,Royal Antwerp FC,N/A,2,0.00,0.00,1.85,1.47,0,1,1,1,0,1,"","37",6,3,2,0,5,0,0,2,2,3,15,2,4,0,11,2,10,29,65,35,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.50,7.28,0.00,0.00,0.00,0.00,0.00,0.00,GHELAMCO-arena
1502035200,Aug 06 2017 - 4:00pm,complete,20000,RSC Anderlecht,KV Oostende,N/A,2,0.00,0.00,1.80,1.20,1,0,1,0,0,0,"77","",9,9,1,0,3,0,1,0,2,1,17,11,8,8,9,3,11,9,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.41,5.14,8.26,0.00,0.00,0.00,0.00,0.00,0.00,Stade Constant Vanden Stock
1502042400,Aug 06 2017 - 6:00pm,complete,25723,Club Brugge,AS Eupen,N/A,2,0.00,0.00,2.40,0.27,3,1,4,2,1,1,"32,65,90'1","19",5,2,1,0,2,1,0,1,1,2,11,8,3,4,8,4,19,12,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,7.01,9.99,0.00,0.00,0.00,0.00,0.00,0.00,Jan Breydelstadion
1502476200,Aug 11 2017 - 6:30pm,complete,12000,Zulte-Waregem,Club Brugge,N/A,3,3.00,3.00,1.13,1.55,1,2,3,1,0,1,"53","22,48",4,4,1,0,3,0,0,1,2,1,7,7,3,5,4,2,11,18,56,44,0.00,0.00,0.00,0.00,3.00,0,100,50,50,0,50,50,50,100,17.00,5.00,3.52,3.68,2.13,0.00,0.00,0.00,0.00,0.00,0.00,Regenboogstadion
1502553600,Aug 12 2017 - 4:00pm,complete,12381,KV Mechelen,KAA Gent,N/A,3,1.00,0.00,1.27,1.35,1,1,2,1,0,1,"86","33",7,7,2,0,1,0,0,2,1,0,9,13,5,7,4,6,15,16,51,49,0.00,0.00,0.00,0.00,3.50,100,100,50,50,50,50,100,50,50,11.00,7.00,3.61,3.47,2.18,0.00,0.00,0.00,0.00,0.00,0.00,AFAS-stadion Achter de Kazerne
1502560800,Aug 12 2017 - 6:00pm,complete,2112,AS Eupen,KV Kortrijk,N/A,3,0.00,0.00,1.53,1.07,1,2,3,1,0,1,"79","38,54",10,1,3,0,4,0,1,2,0,4,15,7,6,4,9,3,5,18,58,42,0.00,0.00,0.00,0.00,3.00,0,50,50,50,50,0,100,50,50,2.00,3.00,2.26,3.63,3.26,0.00,0.00,0.00,0.00,0.00,0.00,Stadion am Kehrweg
1502560800,Aug 12 2017 - 6:00pm,complete,5058,KSC Lokeren,Royal Excel Mouscron,N/A,3,0.00,3.00,0.67,0.73,0,2,2,1,0,1,"","23,66",2,3,3,1,1,0,1,3,1,0,6,6,3,5,3,1,19,11,46,54,0.00,0.00,0.00,0.00,2.50,0,50,50,50,0,50,50,0,100,6.00,5.00,1.80,3.78,4.85,0.00,0.00,0.00,0.00,0.00,0.00,Daknamstadion
1502562600,Aug 12 2017 - 6:30pm,complete,7100,KV Oostende,Waasland-Beveren,N/A,3,0.00,1.00,1.20,0.93,0,3,3,3,0,3,"","3,11,42",10,6,1,0,0,0,0,1,0,0,17,8,11,5,6,3,9,16,52,48,0.00,0.00,0.00,0.00,3.50,50,50,50,50,50,0,50,50,100,7.00,7.00,1.75,4.09,4.80,0.00,0.00,0.00,0.00,0.00,0.00,Versluys Arena
1502627400,Aug 13 2017 - 12:30pm,complete,6899,Royal Antwerp FC,KRC Genk,N/A,3,1.00,0.00,1.27,1.55,3,5,8,5,1,4,"24,79,81","8,16,21,41,59",5,3,1,0,1,0,0,1,0,1,6,9,3,5,3,4,13,14,45,55,0.00,0.00,0.00,0.00,1.50,50,50,50,0,0,0,50,50,50,11.00,7.00,3.58,3.44,2.20,0.00,0.00,0.00,0.00,0.00,0.00,Bosuilstadion
1502640000,Aug 13 2017 - 4:00pm,complete,11400,Sporting Charleroi,RSC Anderlecht,N/A,3,3.00,1.00,1.55,1.55,2,0,2,0,0,0,"55,90'3","",7,5,2,0,3,0,1,1,1,2,7,9,3,7,4,2,13,20,43,57,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,50,0,0,5.00,2.00,4.33,3.66,1.92,0.00,0.00,0.00,0.00,0.00,0.00,Stade du Pays de Charleroi
1502647200,Aug 13 2017 - 6:00pm,complete,5500,Sint-Truiden,Standard Liège,N/A,3,3.00,1.00,1.80,1.20,1,0,1,0,0,0,"90'2","",2,3,3,0,3,2,2,1,2,3,10,11,5,5,5,6,15,20,51,49,0.00,0.00,0.00,0.00,3.50,100,100,50,50,50,50,100,50,50,4.00,5.00,3.81,3.43,2.12,0.00,0.00,0.00,0.00,0.00,0.00,Stayen (Sint-Truiden (St.-Trond))
1503081000,Aug 18 2017 - 6:30pm,complete,20500,Standard Liège,Zulte-Waregem,N/A,4,3.00,3.00,2.05,1.33,0,4,4,0,0,0,"","65,70,73,84",3,5,0,0,2,0,0,0,1,1,13,12,8,6,5,6,8,14,46,54,0.00,0.00,0.00,0.00,4.00,50,100,100,50,50,0,100,100,100,12.00,5.00,1.62,4.14,6.01,0.00,0.00,0.00,0.00,0.00,0.00,Stade Maurice Dufrasne
1503158400,Aug 19 2017 - 4:00pm,complete,14650,KRC Genk,Sporting Charleroi,N/A,4,1.00,3.00,1.45,1.40,0,1,1,0,0,0,"","58",4,7,0,0,1,0,0,0,0,1,10,10,2,3,8,7,9,10,61,39,0.00,0.00,0.00,0.00,6.50,100,100,100,100,100,50,100,100,100,8.00,2.00,1.93,3.64,4.33,0.00,0.00,0.00,0.00,0.00,0.00,Luminus Arena
