team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
RSC Anderlecht,RSC Anderlecht,2022/2023,Belgium,34,17,17,0,13,6,7,7,4,3,14,7,7,1.35,1.29,1.41,11,12,8,11,50,44,6,94,50,44,27,23,23,21,4,2,61,57,67,70,67,73,11,4,7,17,9,8,9,6,3,16,8,8,179,113,66,69,31,38,54,55,53,429,258,171,185,106,79,244,152,92,376,180,196,22,13,9,16,7,9,6,6,0,11,7,4,15,7,8,8,3,5,1.41,1.65,1.18,2.76,2.94,2.59,1.47,1.59,1.35,1.29,1.35,1.24,1.12,1.18,1.06,0.65,0.76,0.53,0.47,0.41,0.53,31,23,17,14,6,2,15,12,9,9,4,1,16,11,8,5,2,1,3,11,17,20,28,32,2,5,8,8,13,16,1,6,9,12,15,16,91,68,50,41,18,6,88,71,53,53,24,6,94,65,47,29,12,6,9,32,50,59,82,94,12,29,47,47,76,94,6,35,53,71,88,94,20,10,8,10,5,5,10,5,3,59,29,24,59,29,29,59,29,18,38,35,41,2,32,24,41,50,53,47,26,35,18,47,47,47,22,11,11,65,65,65,18,9,9,53,53,53,8,4,4,24,24,24,32,41,24,44,41,47,24,18,29,5.26,6.65,3.88,2.03,1.82,2.24,79,71,59,47,35,24,18,15,1.56,1.79,1.31,1.45,1.33,1.57,82,4,4,2,7,7,3,7,6,10,3,6,1,3,4,6,9,4,8,21,24,18,41,41,41,6
Club Brugge KV,Club Brugge,2022/2023,Belgium,40,20,20,0,18,11,7,11,6,5,11,3,8,1.63,1.95,1.3,4,4,5,5,71,48,23,119,64,55,44,27,20,28,24,-1,51,41,67,75,90,64,14,8,6,21,11,10,7,1,6,26,15,11,254,137,117,88,34,54,58,59,57,594,355,239,221,123,98,373,232,141,418,181,237,33,16,17,20,7,13,13,9,4,16,8,8,16,9,7,8,3,5,1.6,1.65,1.55,2.98,3.2,2.75,1.78,2.2,1.35,1.2,1,1.4,1.33,1.15,1.5,0.83,0.8,0.85,0.5,0.35,0.65,38,36,24,14,4,2,20,20,11,7,3,2,18,16,13,7,1,0,2,4,16,26,36,38,0,0,9,13,17,18,2,4,7,13,19,20,95,90,60,35,10,5,100,100,55,35,15,10,90,80,65,35,5,0,5,10,40,65,90,95,0,0,45,65,85,90,10,20,35,65,95,100,28,16,8,13,6,3,15,10,5,70,40,20,65,30,15,75,50,25,45,55,35,21,35,40,30,53,55,50,18,5,30,65,75,55,23,14,9,58,70,45,18,9,9,45,45,45,11,4,7,28,20,35,40,40,40,40,45,35,20,15,25,6.35,6.85,5.85,2.2,1.7,2.70,88,68,53,40,40,33,15,13,1.72,1.98,1.47,1.34,1.17,1.51,75,6,4,7,8,10,8,12,5,11,3,5,5,5,5,5,4,6,10,28,30,25,28,15,40,10
KAA Gent,KAA Gent,2022/2023,Belgium,40,20,20,0,21,11,10,9,5,4,10,4,6,1.8,1.9,1.7,1,5,4,4,81,44,37,125,56,69,36,45,20,24,16,21,44,50,40,82,90,75,14,8,6,22,12,10,6,2,4,23,11,12,235,128,107,61,29,32,56,56,56,561,309,252,240,124,116,321,185,136,400,198,202,32,13,19,19,10,9,13,3,10,16,7,9,16,8,8,8,5,3,1.6,1.45,1.75,3.13,2.8,3.45,2.03,1.8,2.25,1.1,1,1.2,1.28,1.15,1.4,0.8,0.65,0.95,0.48,0.5,0.45,38,35,25,15,6,3,18,17,12,5,2,1,20,18,13,10,4,2,2,5,15,25,34,37,2,3,8,15,18,19,0,2,7,10,16,18,95,88,63,38,15,8,90,85,60,25,10,5,100,90,65,50,20,10,5,12,37,62,85,92,10,15,40,75,90,95,0,10,35,50,80,90,30,15,5,14,6,3,16,9,2,75,38,13,70,30,15,80,45,10,53,55,50,-1,35,40,30,55,60,50,15,10,20,58,55,60,23,11,12,58,55,60,17,10,7,43,50,35,10,5,5,25,25,25,40,35,45,40,40,40,20,25,15,5.88,6.40,5.35,1.53,1.45,1.60,90,70,55,40,35,35,25,23,1.67,1.81,1.52,1.23,1.18,1.29,93,5,3,8,8,13,10,13,13,8,3,6,5,4,2,6,4,5,9,23,25,20,25,20,30,10
Royal Standard de Liège,Standard Liège,2022/2023,Belgium,40,20,20,0,16,10,6,9,4,5,15,6,9,1.43,1.7,1.15,4,7,10,7,60,60,0,120,61,59,35,25,26,34,9,-9,60,51,72,60,69,53,12,7,5,21,10,11,9,3,6,20,11,9,205,117,88,102,45,57,51,53,50,488,264,224,195,113,82,293,151,142,457,227,230,32,19,13,25,8,17,7,11,-4,16,12,4,12,3,9,12,5,7,1.5,1.95,1.05,3,3.05,2.95,1.5,1.75,1.25,1.5,1.3,1.7,1.43,1.35,1.5,0.8,0.95,0.65,0.63,0.4,0.85,38,35,23,17,5,2,20,19,12,9,1,0,18,16,11,8,4,2,2,5,17,23,35,38,0,1,8,11,19,20,2,4,9,12,16,18,95,88,58,43,13,5,100,95,60,45,5,0,90,80,55,40,20,10,5,12,42,57,87,95,0,5,40,55,95,100,10,20,45,60,80,90,29,16,9,17,7,3,12,9,6,73,40,23,85,35,15,60,45,30,40,50,30,15,30,35,25,53,50,55,23,15,30,50,55,45,23,13,10,58,65,50,19,8,11,48,40,55,9,2,7,23,10,35,40,60,20,30,15,45,30,25,35,5.13,5.85,4.40,2.55,2.25,2.85,90,85,78,60,50,35,30,13,1.45,1.61,1.30,1.53,1.44,1.62,70,5,8,5,9,5,5,4,3,16,6,3,6,6,5,3,10,8,13,23,20,25,38,30,45,0
Sporting du Pays de Charleroi,Sporting Charleroi,2022/2023,Belgium,34,17,17,0,15,8,7,6,2,4,13,7,6,1.5,1.53,1.47,8,11,7,9,46,47,-1,93,46,47,24,22,22,25,2,-3,67,64,70,65,70,61,10,4,6,19,9,10,7,4,3,13,7,6,145,74,71,77,33,44,52,52,52,420,233,187,167,92,75,253,141,112,397,203,194,17,10,7,25,13,12,-8,-3,-5,7,4,3,13,5,8,14,8,6,1,1,1,2.74,2.71,2.76,1.35,1.41,1.29,1.38,1.29,1.47,1.24,1.35,1.12,0.5,0.59,0.41,0.74,0.76,0.71,32,20,20,15,6,0,17,10,10,7,2,0,15,10,10,8,4,0,2,14,14,19,28,34,0,7,7,10,15,17,2,7,7,9,13,17,94,59,59,44,18,0,100,59,59,41,12,0,88,59,59,47,24,0,6,41,41,56,82,100,0,41,41,59,88,100,12,41,41,53,76,100,25,12,5,14,6,3,11,6,2,74,35,15,82,35,18,65,35,12,44,47,41,6,29,24,35,56,53,59,21,24,18,38,41,35,14,7,7,41,41,41,20,8,12,59,47,71,9,5,4,26,29,24,21,24,18,38,29,47,41,47,35,4.26,4.35,4.18,2.26,1.94,2.59,74,68,56,50,41,32,18,15,1.50,1.65,1.36,1.46,1.24,1.68,59,2,6,1,6,3,6,8,4,10,7,3,7,5,4,4,3,4,10,18,12,24,38,41,35,6
KAS Eupen,AS Eupen,2022/2023,Belgium,34,17,17,0,7,4,3,7,4,3,20,9,11,0.82,0.94,0.71,15,15,16,15,40,75,-35,115,55,60,22,18,33,42,-11,-24,76,70,85,41,46,36,5,1,4,20,11,9,10,5,5,10,4,6,162,87,75,79,43,36,47,49,45,403,229,174,151,88,63,252,141,111,431,227,204,18,10,8,43,20,23,-25,-10,-15,3,2,1,15,9,6,16,6,10,0.71,0.88,0.53,3.38,3.24,3.53,1.18,1.29,1.06,2.21,1.94,2.47,1.79,1.76,1.82,0.53,0.59,0.47,1.26,1.18,1.35,33,26,20,13,8,8,17,14,10,6,3,3,16,12,10,7,5,5,1,8,14,21,26,26,0,3,7,11,14,14,1,5,7,10,12,12,97,76,59,38,24,24,100,82,59,35,18,18,94,71,59,41,29,29,3,24,41,62,76,76,0,18,41,65,82,82,6,29,41,59,71,71,25,17,11,13,9,5,12,8,6,74,50,32,76,53,29,71,47,35,21,24,18,11,15,6,24,59,65,53,29,29,29,29,24,35,10,5,5,29,29,29,21,10,11,62,59,65,12,6,6,35,35,35,9,12,6,44,53,35,47,35,59,4.76,5.12,4.41,2.32,2.53,2.12,88,82,76,62,50,38,28,18,1.37,1.56,1.18,1.76,1.63,1.90,103,3,5,3,1,7,4,2,5,10,8,7,9,12,10,5,6,5,13,21,24,18,59,53,65,15
KV Oostende,KV Oostende,2022/2023,Belgium,34,17,17,0,7,5,2,6,1,5,21,11,10,0.79,0.94,0.65,17,16,17,17,37,76,-39,113,51,62,18,19,33,43,-15,-24,83,85,80,40,46,36,3,3,0,20,10,10,12,5,7,12,8,4,156,86,70,88,48,40,43,44,43,432,227,205,195,109,86,237,118,119,409,207,202,13,9,4,35,18,17,-22,-9,-13,5,3,2,11,5,6,18,9,9,0.76,0.82,0.71,3.32,3,3.65,1.09,1.06,1.12,2.24,1.94,2.53,1.41,1.59,1.24,0.38,0.53,0.24,1.03,1.06,1,33,30,26,12,5,4,16,14,13,5,1,1,17,16,13,7,4,3,1,4,8,22,29,30,1,3,4,12,16,16,0,1,4,10,13,14,97,88,76,35,15,12,94,82,76,29,6,6,100,94,76,41,24,18,3,12,24,65,85,88,6,18,24,71,94,94,0,6,24,59,76,82,28,16,3,15,9,2,13,7,1,82,47,9,88,53,12,76,41,6,21,29,12,5,9,18,0,59,59,59,35,29,41,35,47,24,11,5,6,32,29,35,22,9,13,65,53,76,7,5,2,21,29,12,15,18,12,32,29,35,53,53,53,4.59,5.06,4.12,2.59,2.82,2.35,91,82,65,56,41,32,21,15,1.56,1.65,1.47,1.65,1.50,1.80,76,4,3,1,1,4,6,5,3,10,4,10,7,8,7,9,6,10,15,18,6,29,62,65,59,6
Sint-Truidense VV,Sint-Truiden,2022/2023,Belgium,34,17,17,0,11,6,5,9,4,5,14,7,7,1.24,1.29,1.18,12,13,12,12,37,40,-3,77,39,38,20,17,19,21,1,-4,83,76,90,76,80,73,9,4,5,15,7,8,13,7,6,13,6,7,130,73,57,69,29,40,44,46,42,392,211,181,113,61,52,279,150,129,423,198,225,14,8,6,15,9,6,-1,-1,0,11,6,5,13,6,7,10,5,5,1.35,1.41,1.29,2.26,2.29,2.24,1.09,1.18,1,1.18,1.12,1.24,0.85,1,0.71,0.41,0.47,0.35,0.44,0.53,0.35,31,23,15,6,2,0,16,11,8,3,1,0,15,12,7,3,1,0,3,11,19,28,32,34,1,6,9,14,16,17,2,5,10,14,16,17,91,68,44,18,6,0,94,65,47,18,6,0,88,71,41,18,6,0,9,32,56,82,94,100,6,35,53,82,94,100,12,29,59,82,94,100,22,7,0,12,5,0,10,2,0,65,21,0,71,29,0,59,12,0,32,35,29,7,26,24,29,44,41,47,38,41,35,38,35,41,23,11,12,68,65,71,22,10,12,65,59,71,1,1,0,3,6,0,32,35,29,38,35,41,29,29,29,3.82,4.29,3.35,2.03,1.71,2.35,68,59,44,28,24,15,6,6,1.25,1.35,1.15,1.36,1.16,1.55,50,2,3,4,0,6,3,7,6,6,1,1,4,1,9,4,5,5,10,26,24,29,41,41,41,0
KRC Genk,KRC Genk,2022/2023,Belgium,40,20,20,0,25,15,10,8,3,5,7,2,5,2.08,2.4,1.75,3,1,2,1,88,47,41,135,69,66,50,38,19,28,31,10,41,36,47,76,95,64,8,5,3,28,14,14,5,2,3,28,16,12,226,125,101,80,35,45,53,55,52,530,302,228,246,140,106,284,162,122,479,227,252,50,29,21,24,10,14,26,19,7,21,12,9,15,7,8,4,1,3,1.95,2.15,1.75,3.38,3.45,3.3,2.2,2.5,1.9,1.18,0.95,1.4,1.85,1.95,1.75,1.25,1.45,1.05,0.6,0.5,0.7,39,34,29,20,8,3,19,16,15,10,4,3,20,18,14,10,4,0,1,6,11,20,32,37,1,4,5,10,16,17,0,2,6,10,16,20,98,85,73,50,20,8,95,80,75,50,20,15,100,90,70,50,20,0,2,15,27,50,80,92,5,20,25,50,80,85,0,10,30,50,80,100,36,24,8,17,12,5,19,12,3,90,60,20,85,60,25,95,60,15,63,75,50,17,20,25,15,70,70,70,13,10,15,70,80,60,18,11,7,45,55,35,7,3,4,18,15,20,19,9,10,48,45,50,53,60,45,38,35,40,10,5,15,5.65,6.25,5.05,2,1.75,2.25,90,78,63,53,43,33,20,18,1.65,1.86,1.43,1.46,1.24,1.69,88,12,12,11,9,8,9,7,6,14,4,2,6,5,8,10,4,3,5,20,15,25,18,10,25,15
KVC Westerlo,KVC Westerlo,2022/2023,Belgium,40,20,20,0,15,9,6,10,4,6,15,7,8,1.38,1.55,1.2,3,8,9,8,71,68,3,139,81,58,47,24,34,34,13,-10,51,38,75,53,53,53,11,6,5,24,13,11,7,2,5,24,12,12,186,100,86,71,40,31,50,53,48,493,272,221,212,128,84,281,144,137,377,178,199,34,21,13,29,15,14,5,6,-1,19,11,8,11,5,6,10,4,6,1.7,1.9,1.5,3.48,4.05,2.9,1.78,2.35,1.2,1.7,1.7,1.7,1.58,1.8,1.35,0.85,1.05,0.65,0.73,0.75,0.7,38,35,23,17,12,8,19,18,15,12,9,6,19,17,8,5,3,2,2,5,17,23,28,32,1,2,5,8,11,14,1,3,12,15,17,18,95,88,58,43,30,20,95,90,75,60,45,30,95,85,40,25,15,10,5,12,42,57,70,80,5,10,25,40,55,70,5,15,60,75,85,90,33,15,9,17,10,6,16,5,3,83,38,23,85,50,30,80,25,15,38,45,30,0,28,30,25,60,65,55,18,10,25,60,60,60,23,12,11,58,60,55,13,5,8,33,25,40,11,6,5,28,30,25,48,55,40,28,25,30,25,20,30,4.65,5.00,4.30,1.78,2,1.55,93,75,68,60,45,33,25,25,1.47,1.65,1.28,1.65,1.62,1.69,103,9,5,8,7,11,9,2,6,14,5,5,4,10,8,5,8,9,14,25,20,30,38,35,40,15
