timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1751986800,Jul 08 2025 - 3:00pm,complete,2329,KuPS,Milsami,N/A,N/A,0.00,0.00,1.75,0.50,1,0,1,0,0,0,"73","",11,3,1,0,2,0,0,1,1,1,11,7,2,0,9,7,8,5,61,39,0.00,0.00,1.51,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,4.50,9.00,1.22,1.68,2.75,5.15,2.00,1.73,N/A
1751990400,Jul 08 2025 - 4:00pm,complete,800,Saburtalo,Malmö FF,N/A,N/A,0.00,0.00,0.00,2.17,1,3,4,1,0,1,"86","8,58,70",5,4,0,0,2,0,0,0,0,2,10,13,5,6,5,7,9,16,53,47,0.00,0.00,1.53,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,3.65,1.68,1.33,2.05,3.70,7.40,2.20,1.62,N/A
1751990400,Jul 08 2025 - 4:00pm,complete,2800,Artsakh,Budućnost,N/A,N/A,0.00,0.00,1.00,0.50,1,0,1,0,0,0,"68","",1,1,3,0,4,0,0,3,2,2,9,3,3,1,6,2,13,12,68,32,0.00,0.00,1.54,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,3.70,4.10,1.20,1.61,2.43,4.30,2.00,1.73,N/A
1751992200,Jul 08 2025 - 4:30pm,complete,6034,Tallinna FC Levadia,Rīgas FS,N/A,N/A,0.00,0.00,0.00,1.50,0,1,1,0,0,0,"","55",1,3,0,0,0,0,0,0,0,0,10,11,4,5,6,6,17,9,56,44,0.00,0.00,1.65,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.75,1.95,1.28,1.83,3.10,5.90,1.80,1.91,N/A
1751994000,Jul 08 2025 - 5:00pm,complete,6108,Olimpija,Kairat,N/A,N/A,0.00,0.00,0.50,1.50,1,1,2,0,0,0,"66","59",3,0,3,0,4,0,1,2,2,2,15,5,7,1,8,4,14,17,64,36,0.00,0.00,1.86,0.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.40,7.80,1.28,1.93,3.20,6.10,1.83,1.83,N/A
1751997600,Jul 08 2025 - 6:00pm,complete,12863,Drita,Differdange 03,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"73","",6,3,0,0,2,0,0,0,2,0,14,4,2,0,12,4,19,20,53,47,0.00,0.00,1.55,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.50,4.50,1.50,2.05,5.60,14.00,2.25,1.57,N/A
1751997600,Jul 08 2025 - 6:00pm,complete,1090,The New Saints,Shkendija,N/A,N/A,0.00,0.00,0.50,1.67,0,0,0,0,0,0,"","",4,5,3,0,1,0,1,2,1,0,11,9,3,1,8,8,13,20,57,43,0.00,0.00,1.32,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.20,3.30,1.30,1.95,3.35,6.40,1.73,2.00,N/A
1751997600,Jul 08 2025 - 6:00pm,complete,174,Víkingur,Lincoln Red Imps,N/A,N/A,0.00,0.00,0.00,1.50,2,3,5,5,2,3,"28,45'4","19,31,38",6,7,2,1,3,0,0,3,2,1,11,19,4,6,7,13,8,3,57,43,0.00,0.00,1.46,1.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.51,4.10,6.20,1.30,1.95,3.55,6.75,2.00,1.73,N/A
1752001200,Jul 08 2025 - 7:00pm,complete,1688,Egnatia Rrogozhinë,Breidablik,N/A,N/A,0.00,0.00,1.50,0.75,1,0,1,0,0,0,"90'2","",5,6,6,0,2,0,0,6,0,2,13,3,6,3,7,0,17,20,72,28,0.00,0.00,1.74,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,3.30,2.30,1.38,2.15,3.95,8.00,1.83,1.83,N/A
1752001200,Jul 08 2025 - 7:00pm,complete,3075,Virtus,Zrinjski,N/A,N/A,0.00,0.00,0.00,1.75,0,2,2,1,0,1,"","45,78",1,6,3,0,2,0,1,2,0,2,1,15,0,6,1,9,13,20,23,77,0.00,0.00,0.23,2.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,35.00,13.00,1.04,1.12,1.41,1.93,3.35,3.25,1.33,N/A
