timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1530036000,Jun 26 2018 - 6:00pm,complete,N/A,Sant Julià,Gzira United,Denys Shurman,N/A,0.00,0.00,0.00,1.50,0,2,2,1,0,1,"","20,87",6,7,4,0,3,0,2,2,1,2,7,8,2,5,5,3,12,22,50,50,0.00,0.00,1.00,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.30,1.90,1.36,2.14,3.75,7.00,1.90,1.80,Estadi Comunal d'Andorra la Vella (Andorra la Vella)
1530201600,Jun 28 2018 - 4:00pm,complete,N/A,Europa,Prishtina,João Carlos Santos Capela,N/A,0.00,0.00,0.50,1.50,1,1,2,1,1,0,"45","50",4,5,1,0,1,0,0,1,0,1,8,8,3,4,5,4,8,13,60,40,0.00,0.00,0.96,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,2.90,2.45,1.40,2.36,4.40,9.50,2.55,1.47,Victoria Stadium
1530205200,Jun 28 2018 - 5:00pm,complete,N/A,Birkirkara,KÍ,Besfort Kasumi,N/A,0.00,0.00,0.50,1.25,1,1,2,0,0,0,"72","88",2,2,1,0,1,0,1,0,0,1,4,5,4,2,0,3,15,20,50,50,0.00,0.00,0.69,0.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,3.55,5.05,1.36,2.25,4.00,7.50,2.00,1.80,MFA Centenary Stadium
1530208800,Jun 28 2018 - 6:00pm,complete,N/A,B36,St Joseph's,Jari Järvinen,N/A,0.00,0.00,1.00,1.00,1,1,2,2,1,1,"33","41",5,1,3,0,4,0,2,1,2,2,19,5,10,2,9,3,14,13,67,33,0.00,0.00,2.44,0.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.35,5.05,6.50,1.17,1.53,2.25,4.00,1.45,2.63,Gundadalur
1530208800,Jun 28 2018 - 6:00pm,complete,N/A,Cefn Druids,Trakai,Christopher Jäger,N/A,0.00,0.00,0.50,1.50,1,1,2,0,0,0,"48","86",4,3,1,0,4,0,0,1,1,3,11,11,4,5,7,6,-1,-1,50,50,0.00,0.00,1.58,1.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.85,3.70,1.61,1.40,2.20,4.33,7.50,1.91,1.83,Park Hall Stadium
1530208800,Jun 28 2018 - 6:00pm,complete,N/A,Engordany,S.S. Folgore,Kári J. á Høvdanum,N/A,0.00,0.00,1.00,0.50,2,1,3,1,1,0,"39,86","72",8,4,3,0,2,0,1,2,0,2,3,2,3,2,0,0,-1,-1,50,50,0.00,0.00,0.61,0.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,3.80,7.50,1.50,2.25,4.50,8.50,4.60,1.17,Estadi Comunal d'Andorra la Vella (Andorra la Vella)
1530211500,Jun 28 2018 - 6:45pm,complete,N/A,Tre Fiori,Bala Town,Stanislav Todorov,N/A,0.00,0.00,0.75,1.50,3,0,3,3,3,0,"7,32,36","",0,7,3,1,3,0,0,4,0,3,8,10,4,4,4,6,24,13,26,74,0.00,0.00,1.12,1.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.00,5.25,1.36,1.18,1.62,2.55,4.75,3.25,1.30,Stadio Tullo Morgagni
1530806400,Jul 05 2018 - 4:00pm,complete,536,St Joseph's,B36,Christophe Pires Martins,N/A,1.00,1.00,1.00,1.00,1,1,2,1,0,1,"88","14",12,6,5,0,7,0,2,3,1,6,21,13,8,6,13,7,18,20,50,50,0.67,2.44,2.24,1.49,2.00,100,100,0,0,0,100,100,0,0,6.00,7.00,4.40,3.50,1.71,1.27,1.87,3.20,5.75,1.91,1.87,Victoria Stadium
1530808200,Jul 05 2018 - 4:30pm,complete,850,Trakai,Cefn Druids,Dejan Jakimovski,N/A,1.00,1.00,1.50,0.50,1,0,1,1,1,0,"29","",7,5,3,0,6,0,0,3,3,3,14,9,6,3,8,6,17,14,63,37,1.72,1.58,1.77,1.11,2.00,100,100,0,0,0,0,0,100,100,7.00,5.00,1.30,4.50,9.25,1.28,1.91,3.30,7.80,2.35,1.56,Alytaus m. centrinis stadionas
1530810000,Jul 05 2018 - 5:00pm,complete,649,Gzira United,Sant Julià,Juxhin Xhaja,N/A,3.00,0.00,1.50,0.00,2,1,3,0,0,0,"65,90'3","62",3,6,1,0,5,1,0,1,1,5,16,6,9,2,7,4,9,21,50,50,1.21,1.00,1.87,0.64,2.00,0,100,0,0,0,0,100,0,100,13.00,7.00,1.34,4.10,8.50,1.25,1.83,3.10,5.80,2.15,1.67,MFA Centenary Stadium
1530810000,Jul 05 2018 - 5:00pm,complete,1140,Prishtina,Europa,Ioannis Papadopoulos,N/A,1.00,1.00,1.50,0.50,5,0,5,3,3,0,"9,13,35,59,86","",3,3,1,0,4,0,0,1,2,2,11,11,8,2,3,9,-1,-1,50,50,1.01,0.96,1.75,1.47,2.00,100,100,0,0,0,0,100,0,100,9.00,2.00,1.77,3.40,4.25,1.44,2.40,4.55,8.50,2.30,1.61,Stadiumi Olimpik Adem Jashari (Mitrovicë (Kosovska Mitrovica))
1530811800,Jul 05 2018 - 5:30pm,complete,610,Bala Town,Tre Fiori,Kristoffer Hagenes,N/A,0.00,3.00,1.50,0.75,1,0,1,0,0,0,"77","",8,0,4,0,1,0,0,4,0,1,14,5,2,2,12,3,-1,-1,50,50,1.96,1.12,2.26,0.91,3.00,0,100,100,0,0,100,100,0,0,7.00,8.00,1.12,7.75,13.25,1.06,1.27,1.71,2.86,1.83,1.95,Corbett Sports Stadium
1530813600,Jul 05 2018 - 6:00pm,complete,1100,KÍ,Birkirkara,Kristoffer Karlsson,N/A,1.00,1.00,1.25,0.50,2,1,3,1,1,0,"45'2,59","90",7,4,2,0,3,0,1,1,0,3,10,7,6,4,4,3,17,10,50,50,0.57,0.69,1.60,0.94,2.00,100,100,0,0,0,0,0,100,100,4.00,2.00,2.75,3.00,2.50,1.49,2.55,4.90,12.00,2.20,1.65,Gundadalur
