team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Celtic FC,Celtic,2015/2016,Scotland,6,3,3,0,0,0,0,3,1,2,3,2,1,0.5,0.33,0.67,4,0,0,126,8,12,-4,20,10,10,4,4,6,6,-2,-2,68,68,68,45,45,45,0,0,0,6,3,3,0,0,0,3,2,1,31,17,14,18,8,10,50,48,52,66,40,26,34,24,10,32,16,16,70,35,35,6,4,2,8,4,4,-2,0,-2,2,1,1,1,1,0,3,1,2,1.17,1.33,1,3.33,3.33,3.33,1.33,1.33,1.33,2,2,2,2.33,2.67,2,1,1.33,0.67,1.33,1.33,1.33,6,6,5,3,0,0,3,3,3,1,0,0,3,3,2,2,0,0,0,0,1,3,6,6,0,0,0,2,3,3,0,0,1,1,3,3,100,100,83,50,0,0,100,100,100,33,0,0,100,100,67,67,0,0,0,0,17,50,100,100,0,0,0,67,100,100,0,0,33,33,100,100,6,5,3,3,3,2,3,2,1,100,83,50,100,100,67,100,67,33,0,0,0,0,0,0,0,100,100,100,0,0,0,50,67,33,0,0,0,0,0,0,2,0,2,33,0,67,4,3,1,67,100,33,33,33,33,17,33,0,50,33,67,5.17,5.67,4.67,3,2.67,3.33,83,83,50,33,33,33,33,17,0.00,0.00,0.00,0.00,0.00,0.00,100,2,0,2,1,1,1,0,1,0,0,2,3,2,2,1,0,0,2,50,33,67,50,67,33,17
Aberdeen FC,Aberdeen,2015/2016,Scotland,6,3,3,0,1,0,1,4,3,1,1,0,1,1.17,1,1.33,0,1,1,70,8,6,2,14,6,8,3,5,3,3,0,2,68,90,54,90,90,90,2,1,1,4,2,2,1,1,0,2,0,2,30,20,10,5,5,0,50,50,50,41,23,18,19,11,8,22,12,10,68,31,37,1,0,1,2,0,2,-1,0,-1,1,0,1,4,3,1,1,0,1,1.17,1,1.33,2.33,2,2.67,1.33,1,1.67,1,1,1,0.5,0,1,0.17,0,0.33,0.33,0,0.67,5,5,3,1,0,0,2,2,1,1,0,0,3,3,2,0,0,0,1,1,3,5,6,6,1,1,2,2,3,3,0,0,1,3,3,3,83,83,50,17,0,0,67,67,33,33,0,0,100,100,67,0,0,0,17,17,50,83,100,100,33,33,67,67,100,100,0,0,33,100,100,100,2,1,0,0,0,0,2,1,0,33,17,0,0,0,0,67,33,0,17,0,33,0,33,33,33,67,67,67,17,33,0,33,0,67,5,3,2,83,100,67,5,3,2,83,100,67,0,0,0,0,0,0,17,0,33,67,100,33,17,0,33,5.00,6.67,3.33,0.83,1.67,0.00,100,83,67,33,17,17,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,0,0,1,0,1,2,3,1,0,1,1,0,0,2,1,0,1,67,100,33,17,0,33,0
Inverness Caledonian Thistle FC,Inverness CT,2015/2016,Scotland,2,1,1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,0,2,2,140,0,1,-1,1,1,0,0,0,1,0,-1,0,0,0,0,180,90,0,1,0,1,0,0,0,2,1,1,0,0,0,8,6,2,5,2,3,50,50,50,14,7,7,8,4,4,6,3,3,26,16,10,0,0,0,1,1,0,-1,-1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,0.5,1,0,0,0,0,0.5,1,0,0.5,1,0,0,0,0,0.5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,0,0,-50,50,0,100,0,0,0,100,100,100,0,0,0,1,0,1,50,0,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,0,100,50,100,0,4.00,6.00,2.00,2.5,2,3.00,50,50,50,50,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,100,50,100,0,0
Saint Johnstone FC,St. Johnstone,2015/2016,Scotland,2,1,1,0,1,1,0,0,0,0,1,0,1,1.5,3,0,0,3,3,111,2,2,0,4,3,1,2,0,1,1,1,-1,90,45,0,90,90,90,0,0,0,1,1,0,1,0,1,1,1,0,5,5,0,4,3,1,50,50,0,11,11,0,7,7,0,4,4,0,21,21,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,2,3,1,1,2,0,1,1,1,0.5,1,0,0.5,1,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,2,2,2,0,0,0,1,1,1,0,1,1,1,1,1,100,50,50,0,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,50,50,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,1,0,0,1,0,0,0,0,0,50,0,0,100,0,0,0,0,0,50,100,0,0,0,0,0,50,100,0,50,0,100,50,100,0,2,1,1,100,100,100,1,0,1,50,0,100,0,0,0,0,0,0,50,100,0,50,0,100,0,0,0,5.00,5.00,0.00,2,3,1.00,100,100,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,50,0,100,0
BVB 09 Borussia Dortmund,Borussia Dortmund,2015/2016,Germany,16,8,8,0,11,6,5,2,1,1,3,1,2,2.19,2.38,2,2,4,4,1,39,16,23,55,29,26,24,15,5,11,19,4,37,30,48,90,143,65,6,4,2,8,3,5,2,1,1,9,4,5,100,62,38,22,8,14,63,66,60,250,146,104,139,84,55,111,62,49,144,65,79,17,9,8,9,4,5,8,5,3,9,4,5,2,2,0,5,2,3,1.81,1.75,1.88,3.44,3.63,3.25,2.44,3,1.88,1,0.63,1.38,1.63,1.63,1.63,1.06,1.13,1,0.56,0.5,0.63,16,12,9,6,4,3,8,7,5,3,2,1,8,5,4,3,2,2,0,4,7,10,12,13,0,1,3,5,6,7,0,3,4,5,6,6,100,75,56,38,25,19,100,88,63,38,25,13,100,63,50,38,25,25,0,25,44,62,75,81,0,12,37,62,75,87,0,37,50,62,75,75,15,6,2,7,3,1,8,3,1,94,38,13,88,38,13,100,38,13,69,75,63,30,38,50,25,50,38,63,13,13,13,56,50,63,9,4,5,56,50,63,5,3,2,31,38,25,3,2,1,19,25,13,56,50,63,13,25,0,31,25,38,6.25,7.75,4.75,1.38,1,1.75,63,63,63,63,44,31,13,0,0.00,0.00,0.00,0.00,0.00,0.00,100,3,1,6,5,5,3,6,5,5,2,3,1,3,1,0,2,2,2,13,13,13,19,13,25,0
FC Schalke 04,Schalke 04,2015/2016,Germany,8,4,4,0,4,2,2,3,1,2,1,1,0,1.88,1.75,2,1,5,5,24,15,6,9,21,12,9,7,8,5,1,2,7,48,51,45,120,72,360,5,2,3,2,1,1,2,1,1,5,3,2,75,36,39,10,3,7,59,60,59,126,69,57,61,29,32,65,40,25,116,54,62,9,4,5,2,1,1,7,3,4,4,2,2,3,1,2,1,1,0,1.88,1.75,2,2.63,3,2.25,1.88,1.75,2,0.75,1.25,0.25,1.38,1.25,1.5,1.13,1,1.25,0.25,0.25,0.25,7,6,5,3,0,0,4,3,3,2,0,0,3,3,2,1,0,0,1,2,3,5,8,8,0,1,1,2,4,4,1,1,2,3,4,4,88,75,63,38,0,0,100,75,75,50,0,0,75,75,50,25,0,0,12,25,37,62,100,100,0,25,25,50,100,100,25,25,50,75,100,100,6,4,1,3,1,1,3,3,0,75,50,13,75,25,25,75,75,0,50,50,50,-37,63,50,75,25,25,25,25,25,25,63,75,50,6,3,3,75,75,75,3,2,1,38,50,25,1,0,1,13,0,25,50,50,50,38,25,50,13,25,0,9.38,9.00,9.75,1.25,0.75,1.75,100,100,88,88,88,75,63,50,0.00,0.00,0.00,0.00,0.00,0.00,75,1,1,3,3,1,0,0,3,3,1,0,1,0,1,0,2,1,0,38,25,50,13,25,0,50
Bayer 04 Leverkusen,Bayer Leverkusen,2015/2016,Germany,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,0,6,6,71,4,3,1,7,4,3,3,1,1,2,2,-1,90,60,180,120,180,90,2,1,1,1,1,0,2,1,1,2,1,1,24,11,13,12,5,7,54,57,51,38,18,20,18,12,6,20,6,14,49,22,27,2,1,1,2,1,1,0,0,0,1,0,1,2,2,0,1,0,1,1.25,1,1.5,1.75,2,1.5,1,1.5,0.5,0.75,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,3,2,1,1,0,0,1,1,1,1,0,0,2,1,0,0,0,0,1,2,3,3,4,4,1,1,1,1,2,2,0,1,2,2,2,2,75,50,25,25,0,0,50,50,50,50,0,0,100,50,0,0,0,0,25,50,75,75,100,100,50,50,50,50,100,100,0,50,100,100,100,100,3,1,0,1,1,0,2,0,0,75,25,0,50,50,0,100,0,0,50,50,50,42,50,50,50,25,50,0,50,50,50,50,50,50,2,1,1,50,50,50,2,1,1,50,50,50,1,1,0,25,50,0,25,0,50,50,100,0,25,0,50,6.00,5.50,6.50,3,2.5,3.50,75,75,75,75,50,25,25,25,0.00,0.00,0.00,0.00,0.00,0.00,25,0,0,2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,25,50,0,25,0,50,0
FC Augsburg,Augsburg,2015/2016,Germany,7,4,3,0,3,1,2,1,1,0,3,2,1,1.43,1,2,2,7,7,52,12,11,1,23,14,9,7,5,7,4,0,1,53,51,54,57,51,68,2,1,1,5,3,2,1,1,0,3,1,2,32,20,12,17,11,6,56,56,56,94,61,33,52,32,20,42,29,13,89,52,37,6,3,3,4,3,1,2,0,2,3,1,2,3,2,1,1,1,0,1.71,1.25,2.33,3.29,3.5,3,1.71,1.75,1.67,1.57,1.75,1.33,1.43,1.5,1.33,0.86,0.75,1,0.57,0.75,0.33,6,5,5,5,2,0,3,3,3,3,2,0,3,2,2,2,0,0,1,2,2,2,5,7,1,1,1,1,2,4,0,1,1,1,3,3,86,71,71,71,29,0,75,75,75,75,50,0,100,67,67,67,0,0,14,29,29,29,71,100,25,25,25,25,50,100,0,33,33,33,100,100,6,3,1,3,2,1,3,1,0,86,43,14,75,50,25,100,33,0,43,25,67,-5,29,25,33,71,75,67,14,25,0,43,25,67,3,1,2,43,25,67,2,2,0,29,50,0,3,2,1,43,50,33,43,25,67,43,50,33,14,25,0,4.57,5.00,4.00,2.43,2.75,2.00,86,56,28,28,14,14,14,14,0.00,0.00,0.00,0.00,0.00,0.00,114,0,1,1,1,4,2,1,1,1,1,1,0,1,1,2,2,0,3,14,25,0,43,50,33,0
FH Hafnarfjördur,FH,2015/2016,Iceland,4,2,2,0,2,1,1,1,0,1,1,1,0,1.75,1.5,2,0,8,8,74,5,4,1,9,4,5,2,3,2,2,0,1,72,90,60,90,90,90,2,1,1,2,1,1,0,0,0,3,2,1,17,12,5,16,9,7,48,50,46,26,12,14,15,7,8,11,5,6,71,34,37,1,1,0,1,0,1,0,1,-1,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2.25,2,2.5,1.25,1,1.5,1,1,1,0.5,0.5,0.5,0.25,0.5,0,0.25,0,0.5,4,2,2,1,0,0,2,1,1,0,0,0,2,1,1,1,0,0,0,2,2,3,4,4,0,1,1,2,2,2,0,1,1,1,2,2,100,50,50,25,0,0,100,50,50,0,0,0,100,50,50,50,0,0,0,50,50,75,100,100,0,50,50,100,100,100,0,50,50,50,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,50,50,50,0,50,50,50,50,50,50,0,0,0,75,100,50,3,2,1,75,100,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,50,50,25,0,50,4.25,6.00,2.50,4,4.5,3.50,100,75,75,75,50,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,75,0,0,0,1,1,2,0,0,1,0,0,0,0,1,1,1,0,0,25,0,50,25,50,0,0
FC København,København,2015/2016,Denmark,4,2,2,0,3,1,2,0,0,0,1,1,0,2.25,1.5,3,0,9,9,57,8,4,4,12,7,5,4,4,3,1,1,3,45,45,45,90,60,180,2,1,1,2,1,1,0,0,0,3,1,2,32,21,11,6,4,2,52,54,50,40,26,14,20,13,7,20,13,7,45,23,22,3,1,2,1,1,0,2,0,2,2,1,1,1,0,1,1,1,0,1.75,1.5,2,3,3.5,2.5,2,2,2,1,1.5,0.5,1,1,1,0.75,0.5,1,0.25,0.5,0,4,3,2,2,1,0,2,2,1,1,1,0,2,1,1,1,0,0,0,1,2,2,3,4,0,0,1,1,1,2,0,1,1,1,2,2,100,75,50,50,25,0,100,100,50,50,50,0,100,50,50,50,0,0,0,25,50,50,75,100,0,0,50,50,50,100,0,50,50,50,100,100,3,1,0,2,0,0,1,1,0,75,25,0,100,0,0,50,50,0,75,50,100,-25,50,50,50,50,50,50,0,0,0,75,50,100,3,1,2,75,50,100,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,25,0,50,25,50,0,8.00,10.50,5.50,1.5,2,1.00,100,100,100,75,50,50,50,25,0.00,0.00,0.00,0.00,0.00,0.00,50,1,0,1,1,0,2,0,2,1,0,1,0,0,0,1,1,0,1,0,0,0,25,50,0,0
