team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
BVB 09 Borussia Dortmund,Borussia Dortmund,2008/2009,Germany,34,17,17,0,15,8,7,14,9,5,5,0,5,1.74,1.94,1.53,6,7,3,6,60,37,23,97,45,52,34,26,11,26,23,0,51,45,59,83,138,59,14,8,6,19,9,10,4,2,2,20,10,10,0,0,0,58,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,9,17,7,10,7,8,-1,14,8,6,13,7,6,7,2,5,1.62,1.82,1.41,2.85,2.65,3.06,1.76,2,1.53,1.09,0.65,1.53,1.21,1.29,1.12,0.71,0.88,0.53,0.5,0.41,0.59,31,27,16,11,6,4,15,14,7,5,2,2,16,13,9,6,4,2,3,7,18,23,28,30,2,3,10,12,15,15,1,4,8,11,13,15,91,79,47,32,18,12,88,82,41,29,12,12,94,76,53,35,24,12,9,21,53,68,82,88,12,18,59,71,88,88,6,24,47,65,76,88,26,12,3,14,7,1,12,5,2,76,35,9,82,41,6,71,29,12,44,47,41,27,41,47,35,56,53,59,12,12,12,59,59,59,20,11,9,59,65,53,15,5,10,44,29,59,7,4,3,21,24,18,41,47,35,38,41,35,21,12,29,0.00,0.00,0.00,1.76,1.75,1.76,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,76,6,5,5,5,6,5,11,7,10,4,3,5,4,4,3,4,3,7,41,53,29,15,0,29,0
FC Schalke 04,Schalke 04,2008/2009,Germany,34,17,17,0,14,9,5,8,3,5,12,5,7,1.47,1.76,1.18,8,10,8,8,47,35,12,82,41,41,26,21,15,20,11,1,65,59,73,87,102,76,14,9,5,16,8,8,6,1,5,20,11,9,0,0,0,72,25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,10,15,7,8,12,10,2,16,10,6,11,5,6,7,2,5,1.74,2.06,1.41,2.41,2.41,2.41,1.38,1.53,1.24,1.03,0.88,1.18,1.24,1.41,1.06,0.79,1,0.59,0.44,0.41,0.47,32,23,15,6,3,2,16,11,9,4,1,0,16,12,6,2,2,2,2,11,19,28,31,32,1,6,8,13,16,17,1,5,11,15,15,15,94,68,44,18,9,6,94,65,53,24,6,0,94,71,35,12,12,12,6,32,56,82,91,94,6,35,47,76,94,100,6,29,65,88,88,88,25,12,4,13,7,3,12,5,1,74,35,12,76,41,18,71,29,6,41,53,29,13,41,53,29,47,47,47,18,6,29,59,65,53,23,12,11,68,71,65,14,5,9,41,29,53,6,4,2,18,24,12,47,59,35,32,29,35,21,12,29,0.00,0.00,0.00,2.18,1.56,2.76,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,59,5,7,6,6,5,2,3,4,9,3,1,6,1,5,3,4,5,7,24,18,29,35,29,41,0
Hamburger SV,Hamburger SV,2008/2009,Germany,34,17,17,0,19,13,6,4,2,2,11,2,9,1.79,2.41,1.18,5,2,10,5,49,47,2,96,40,56,27,22,13,34,14,-12,63,57,70,65,118,45,7,7,0,20,9,11,7,1,6,21,14,7,0,0,0,81,29,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,9,24,6,18,2,11,-9,16,12,4,6,2,4,12,3,9,1.59,2.24,0.94,2.82,2.35,3.29,1.44,1.59,1.29,1.38,0.76,2,1.47,1.35,1.59,0.76,1,0.53,0.71,0.35,1.06,34,28,20,8,5,1,17,12,7,3,1,0,17,16,13,5,4,1,0,6,14,26,29,33,0,5,10,14,16,17,0,1,4,12,13,16,100,82,59,24,15,3,100,71,41,18,6,0,100,94,76,29,24,6,0,18,41,76,85,97,0,29,59,82,94,100,0,6,24,71,76,94,30,14,6,16,6,1,14,8,5,88,41,18,94,35,6,82,47,29,56,76,35,28,21,41,0,59,53,65,21,6,35,62,82,41,20,13,7,59,76,41,12,3,9,35,18,53,6,2,4,18,12,24,47,71,24,18,12,24,35,18,53,0.00,0.00,0.00,2.38,1.71,3.06,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,68,5,6,5,9,3,8,3,7,3,5,6,7,5,7,2,6,5,4,12,12,12,32,12,53,0
SV Werder Bremen,Werder Bremen,2008/2009,Germany,34,17,17,0,12,10,2,9,4,5,13,3,10,1.32,2,0.65,10,6,15,10,64,50,14,114,65,49,43,21,22,28,21,-7,48,36,73,61,70,55,8,5,3,21,11,10,8,2,6,15,10,5,0,0,0,63,27,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,7,18,8,10,6,9,-3,9,7,2,20,8,12,5,2,3,1.38,1.71,1.06,3.35,3.82,2.88,1.88,2.53,1.24,1.47,1.29,1.65,1.24,1.47,1,0.71,1,0.41,0.53,0.47,0.59,31,27,21,15,11,5,16,16,12,9,6,3,15,11,9,6,5,2,3,7,13,19,23,29,1,1,5,8,11,14,2,6,8,11,12,15,91,79,62,44,32,15,94,94,71,53,35,18,88,65,53,35,29,12,9,21,38,56,68,85,6,6,29,47,65,82,12,35,47,65,71,88,19,15,4,11,8,3,8,7,1,56,44,12,65,47,18,47,41,6,35,59,12,24,24,29,18,62,65,59,24,12,35,44,59,29,23,12,11,68,71,65,19,8,11,56,47,65,7,3,4,21,18,24,26,41,12,59,47,71,15,12,18,0.00,0.00,0.00,1.97,1.59,2.40,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,118,1,6,5,4,10,11,8,12,7,4,6,5,2,4,4,6,11,8,26,24,29,38,18,59,0
FC Bayern München,Bayern München,2008/2009,Germany,34,17,17,0,20,12,8,7,2,5,7,3,4,1.97,2.24,1.71,2,5,1,2,71,42,29,113,68,45,45,26,23,19,22,7,43,34,59,73,67,80,9,3,6,22,13,9,4,1,3,18,9,9,0,0,0,69,25,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,8,24,14,10,4,6,-2,12,9,3,13,4,9,9,4,5,1.44,1.82,1.06,3.32,4,2.65,2.09,2.65,1.53,1.24,1.35,1.12,1.53,2,1.06,0.82,1.18,0.47,0.71,0.82,0.59,33,27,25,15,7,5,17,15,15,10,6,4,16,12,10,5,1,1,1,7,9,19,27,29,0,2,2,7,11,13,1,5,7,12,16,16,97,79,74,44,21,15,100,88,88,59,35,24,94,71,59,29,6,6,3,21,26,56,79,85,0,12,12,41,65,76,6,29,41,71,94,94,26,15,9,15,11,7,11,4,2,76,44,26,88,65,41,65,24,12,59,71,47,9,26,18,35,65,76,53,12,6,18,53,53,53,14,6,8,41,35,47,16,5,11,47,29,65,12,8,4,35,47,24,35,53,18,38,24,53,26,24,29,0.00,0.00,0.00,2.09,1.56,2.59,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,124,2,8,6,7,8,12,11,6,11,3,1,10,5,6,4,4,4,5,21,12,29,21,18,24,0
Borussia VfL Mönchengladbach,Borussia M'gladbach,2008/2009,Germany,34,17,17,0,8,5,3,7,4,3,19,8,11,0.91,1.12,0.71,15,14,14,15,39,62,-23,101,50,51,23,16,27,35,-4,-19,78,67,96,49,57,44,5,2,3,22,13,9,8,2,6,13,9,4,0,0,0,71,31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,6,30,14,16,-14,-4,-10,7,4,3,10,6,4,17,7,10,0.91,1.06,0.76,2.97,2.94,3,1.15,1.35,0.94,1.82,1.59,2.06,1.35,1.41,1.29,0.47,0.59,0.35,0.88,0.82,0.94,33,26,20,13,7,2,17,13,10,7,3,0,16,13,10,6,4,2,1,8,14,21,27,32,0,4,7,10,14,17,1,4,7,11,13,15,97,76,59,38,21,6,100,76,59,41,18,0,94,76,59,35,24,12,3,24,41,62,79,94,0,24,41,59,82,100,6,24,41,65,76,88,27,14,4,14,8,2,13,6,2,79,41,12,82,47,12,76,35,12,24,29,18,15,15,12,18,65,76,53,24,12,35,38,53,24,13,6,7,38,35,41,22,10,12,65,59,71,6,4,2,18,24,12,21,24,18,29,35,24,50,41,59,0.00,0.00,0.00,2.15,1.94,2.35,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,79,2,3,5,2,4,6,4,8,5,1,7,7,9,8,7,6,7,10,21,24,18,56,47,65,0
Bayer 04 Leverkusen,Bayer Leverkusen,2008/2009,Germany,34,17,17,0,14,6,8,7,5,2,13,6,7,1.44,1.35,1.53,9,11,2,9,59,46,13,105,53,52,31,28,22,24,9,4,52,49,55,67,70,64,8,4,4,19,10,9,7,3,4,19,9,10,0,0,0,67,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,16,16,10,6,14,4,10,12,4,8,15,9,6,7,4,3,1.5,1.24,1.76,3.09,3.12,3.06,1.74,1.82,1.65,1.35,1.29,1.41,1.35,1.41,1.29,0.88,0.82,0.94,0.47,0.59,0.35,34,30,18,11,8,3,17,15,8,6,4,2,17,15,10,5,4,1,0,4,16,23,26,31,0,2,9,11,13,15,0,2,7,12,13,16,100,88,53,32,24,9,100,88,47,35,24,12,100,88,59,29,24,6,0,12,47,68,76,91,0,12,53,65,76,88,0,12,41,71,76,94,22,15,6,11,9,3,11,6,3,65,44,18,65,53,18,65,35,18,41,35,47,5,24,24,24,56,59,53,21,18,24,56,53,59,20,9,11,59,53,65,17,8,9,50,47,53,9,6,3,26,35,18,35,24,47,44,53,35,21,24,18,0.00,0.00,0.00,2.03,1.5,2.53,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,74,8,5,9,5,4,4,10,8,6,2,3,2,9,4,7,5,6,8,21,29,12,38,35,41,0
1. FC Köln,Köln,2008/2009,Germany,34,17,17,0,11,4,7,6,5,1,17,8,9,1.15,1,1.29,12,17,7,12,35,50,-15,85,39,46,14,21,25,25,-11,-4,87,110,73,61,61,61,7,4,3,19,9,10,9,5,4,15,6,9,0,0,0,78,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,9,19,10,9,-3,-3,0,9,4,5,16,8,8,9,5,4,1.26,1.18,1.35,2.5,2.29,2.71,1.03,0.82,1.24,1.47,1.47,1.47,1.03,1,1.06,0.47,0.41,0.53,0.56,0.59,0.53,33,27,17,6,1,1,16,12,7,2,1,1,17,15,10,4,0,0,1,7,17,28,33,33,1,5,10,15,16,16,0,2,7,13,17,17,97,79,50,18,3,3,94,71,41,12,6,6,100,88,59,24,0,0,3,21,50,82,97,97,6,29,59,88,94,94,0,12,41,76,100,100,24,11,0,12,5,0,12,6,0,71,32,0,71,29,0,71,35,0,32,24,41,0,21,24,18,56,53,59,26,29,24,44,35,53,19,9,10,56,53,59,19,10,9,56,59,53,6,3,3,18,18,18,26,24,29,47,47,47,26,29,24,0.00,0.00,0.00,2.29,2.06,2.53,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,59,4,2,2,4,6,3,3,4,7,1,6,4,4,6,7,8,6,8,18,29,6,50,47,53,0
VfL Wolfsburg,Wolfsburg,2008/2009,Germany,34,17,17,0,21,16,5,6,1,5,7,0,7,2.03,2.88,1.18,1,1,9,1,80,41,39,121,64,57,51,29,13,28,38,1,38,30,53,74,118,55,11,7,4,21,10,11,3,0,3,20,12,8,0,0,0,60,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,15,15,6,9,19,13,6,18,11,7,10,4,6,6,2,4,1.88,2.18,1.59,3.56,3.76,3.35,2.35,3,1.71,1.21,0.76,1.65,1.44,1.47,1.41,1,1.12,0.88,0.44,0.35,0.53,33,32,27,15,9,4,17,16,15,7,5,3,16,16,12,8,4,1,1,2,7,19,25,30,0,1,2,10,12,14,1,1,5,9,13,16,97,94,79,44,26,12,100,94,88,41,29,18,94,94,71,47,24,6,3,6,21,56,74,88,0,6,12,59,71,82,6,6,29,53,76,94,28,12,7,15,6,3,13,6,4,82,35,21,88,35,18,76,35,24,62,94,29,33,32,41,24,62,59,65,9,0,18,59,71,47,21,11,10,62,65,59,11,4,7,32,24,41,8,4,4,24,24,24,53,65,41,29,24,35,18,12,24,0.00,0.00,0.00,1.82,1.56,2.06,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,103,5,7,9,11,4,10,8,16,10,2,5,3,3,3,7,6,7,5,18,6,29,21,0,41,0
Eintracht Frankfurt,Eintracht Frankfurt,2008/2009,Germany,34,17,17,0,8,5,3,9,4,5,17,8,9,0.97,1.12,0.82,13,12,12,13,39,60,-21,99,55,44,26,13,29,31,-3,-18,78,59,118,51,53,49,4,2,2,18,10,8,13,5,8,9,6,3,0,0,0,83,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5,28,8,20,-15,0,-15,5,5,0,13,5,8,16,7,9,0.82,1.18,0.47,2.91,3.24,2.59,1.15,1.53,0.76,1.76,1.71,1.82,1.21,0.94,1.47,0.38,0.47,0.29,0.82,0.47,1.18,33,30,19,12,5,0,17,17,11,7,3,0,16,13,8,5,2,0,1,4,15,22,29,34,0,0,6,10,14,17,1,4,9,12,15,17,97,88,56,35,15,0,100,100,65,41,18,0,94,76,47,29,12,0,3,12,44,65,85,100,0,0,35,59,82,100,6,24,53,71,88,100,26,11,4,13,3,0,13,8,4,76,32,12,76,18,0,76,47,24,24,29,18,18,12,12,12,53,59,47,38,29,47,26,35,18,13,9,4,38,53,24,23,11,12,68,65,71,6,1,5,18,6,29,15,29,0,38,29,47,47,41,53,0.00,0.00,0.00,2.59,2.88,2.27,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,85,1,4,2,4,4,5,8,2,9,8,8,4,5,7,8,7,8,5,26,24,29,50,47,53,0
