team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Qatar National Team,Qatar,2023,Qatar,4,1,3,0,1,0,1,1,1,0,2,0,2,1,1,1,2,0,0,7,3,7,-4,10,2,8,1,2,1,6,0,-4,120,90,134,51,90,45,1,0,1,2,1,1,1,0,1,3,1,2,7,1,6,18,6,12,37,35,38,19,5,14,11,4,7,8,1,7,58,14,44,3,1,2,2,0,2,1,1,0,2,1,1,1,0,1,1,0,1,1.75,3,1.33,2.5,2,2.67,0.75,1,0.67,1.75,1,2,1.25,1,1.33,0.75,1,0.67,0.5,0,0.67,4,3,2,1,0,0,1,1,0,0,0,0,3,2,2,1,0,0,0,1,2,3,4,4,0,0,1,1,1,1,0,1,1,2,3,3,100,75,50,25,0,0,100,100,0,0,0,0,100,67,67,33,0,0,0,25,50,75,100,100,0,0,100,100,100,100,0,33,33,67,100,100,4,1,0,1,0,0,3,1,0,100,25,0,100,0,0,100,33,0,25,0,33,38,25,0,33,50,100,33,25,0,33,75,100,67,2,1,1,50,100,33,1,0,1,25,0,33,1,0,1,25,0,33,50,100,33,25,0,33,25,0,33,1.75,1.00,2.00,4.5,6,4.00,75,25,0,0,0,0,0,0,0.82,0.72,0.88,1.61,1.52,1.66,50,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,2,25,100,0,50,0,67,0
United States Men's National Team,USMNT,2023,USA,5,4,1,0,2,1,1,3,3,0,0,0,0,1.8,1.5,3,1,0,0,4,16,4,12,20,14,6,10,6,4,0,6,6,28,36,15,113,90,0,2,1,1,3,3,0,0,0,0,3,2,1,37,29,8,4,4,0,61,60,66,85,57,28,43,27,16,42,30,12,66,50,16,7,3,4,1,1,0,6,2,4,2,1,1,2,2,0,1,1,0,1.6,1.25,3,4,3.5,6,3.2,2.5,6,0.8,1,0,1.6,1,4,1.4,0.75,4,0.2,0.25,0,5,5,3,3,2,2,4,4,2,2,1,1,1,1,1,1,1,1,0,0,2,2,3,3,0,0,2,2,3,3,0,0,0,0,0,0,100,100,60,60,40,40,100,100,50,50,25,25,100,100,100,100,100,100,0,0,40,40,60,60,0,0,50,50,75,75,0,0,0,0,0,0,3,2,2,2,1,1,1,1,1,60,40,40,50,25,25,100,100,100,40,25,100,-24,40,25,100,60,75,0,0,0,0,60,50,100,4,3,1,80,75,100,3,3,0,60,75,0,0,0,0,0,0,0,40,25,100,40,50,0,20,25,0,7.40,7.25,8.00,0.8,1,0.00,80,60,60,60,60,60,60,40,1.64,1.89,0.00,0.77,1.02,0.00,100,0,4,1,1,2,0,1,2,3,0,1,0,0,0,0,0,0,1,60,75,0,0,0,0,40
Honduras National Team,Honduras,2023,Honduras,3,1,2,0,1,1,0,1,0,1,1,0,1,1.33,3,0.5,3,0,0,8,3,6,-3,9,3,6,2,1,1,5,1,-4,90,45,180,45,90,36,0,0,0,2,1,1,1,0,1,0,0,0,12,1,11,7,1,6,56,55,57,32,15,17,15,8,7,17,7,10,36,5,31,1,1,0,4,1,3,-3,0,-3,0,0,0,1,1,0,2,0,2,0.33,1,0,3,3,3,1,2,0.5,2,1,2.5,1.67,2,1.5,0.33,1,0,1.33,1,1.5,3,3,2,1,0,0,1,1,1,0,0,0,2,2,1,1,0,0,0,0,1,2,3,3,0,0,0,1,1,1,0,0,1,1,2,2,100,100,67,33,0,0,100,100,100,0,0,0,100,100,50,50,0,0,0,0,33,67,100,100,0,0,0,100,100,100,0,0,50,50,100,100,3,2,0,1,1,0,2,1,0,100,67,0,100,100,0,100,50,0,33,100,0,75,0,0,0,67,100,50,33,0,50,0,0,0,0,0,0,0,0,0,2,0,2,67,0,100,1,1,0,33,100,0,0,0,0,33,100,0,67,0,100,4.00,1.00,5.50,2.33,1,3.00,100,67,67,33,0,0,0,0,0.59,0.00,1.09,0.67,0.00,1.17,33,0,0,0,0,1,1,0,0,1,2,1,1,0,0,1,1,0,0,33,0,50,33,0,50,0
Mexico National Team,Mexico,2023,Mexico,6,4,2,0,5,3,2,0,0,0,1,1,0,2.5,2.25,3,1,0,0,1,13,2,11,15,8,7,7,6,1,1,6,5,41,51,30,273,360,180,4,3,1,1,0,1,1,1,0,5,3,2,34,17,17,12,9,3,59,58,60,89,58,31,48,31,17,41,27,14,84,64,20,4,2,2,1,1,0,3,1,2,2,1,1,3,2,1,1,1,0,1.5,1.25,2,2.5,2,3.5,2.17,1.75,3,0.33,0.25,0.5,0.83,0.75,1,0.67,0.5,1,0.17,0.25,0,6,4,3,2,0,0,4,2,1,1,0,0,2,2,2,1,0,0,0,2,3,4,6,6,0,2,3,3,4,4,0,0,0,1,2,2,100,67,50,33,0,0,100,50,25,25,0,0,100,100,100,50,0,0,0,33,50,67,100,100,0,50,75,75,100,100,0,0,0,50,100,100,3,2,0,2,1,0,1,1,0,50,33,0,50,25,0,50,50,0,83,75,100,3,67,75,50,17,0,50,17,25,0,83,75,100,5,3,2,83,75,100,4,3,1,67,75,50,0,0,0,0,0,0,33,25,50,50,50,50,17,25,0,5.67,4.25,8.50,2,2.25,1.50,83,67,67,50,50,17,17,17,1.90,1.84,1.99,0.97,0.98,0.96,33,2,0,2,0,1,3,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,17,25,0,17
Costa Rica National Team,Costa Rica,2023,Costa Rica,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2,0,0,9,7,8,-1,15,13,2,7,0,6,2,1,-2,51,26,0,45,30,90,1,0,1,2,2,0,2,0,2,1,1,0,15,5,10,10,5,5,50,50,51,37,19,18,20,14,6,17,5,12,62,27,35,2,2,0,2,2,0,0,0,0,1,1,0,2,0,2,1,1,0,1.25,1.5,1,3.75,6.5,1,1.75,3.5,0,2,3,1,1,2,0,0.5,1,0,0.5,1,0,3,3,2,1,1,1,2,2,2,1,1,1,1,1,0,0,0,0,1,1,2,3,3,3,0,0,0,1,1,1,1,1,2,2,2,2,75,75,50,25,25,25,100,100,100,50,50,50,50,50,0,0,0,0,25,25,50,75,75,75,0,0,0,50,50,50,50,50,100,100,100,100,2,1,1,2,1,1,0,0,0,50,25,25,100,50,50,0,0,0,25,50,0,25,25,0,50,50,100,0,50,0,100,25,50,0,2,0,2,50,0,100,3,1,2,75,50,100,1,1,0,25,50,0,25,50,0,50,0,100,25,50,0,3.75,2.50,5.00,2.5,2.5,2.50,50,50,50,25,25,0,0,0,1.09,0.88,1.20,1.70,2.15,1.47,100,1,0,0,1,0,2,1,0,2,0,1,1,0,0,1,1,2,2,25,0,50,50,50,50,0
Canada National Team,Canada,2023,Canada,4,2,2,0,1,1,0,3,1,2,0,0,0,1.5,2,1,2,0,0,6,8,6,2,14,10,4,6,2,4,2,2,0,45,30,90,60,45,90,1,0,1,3,2,1,1,0,1,1,1,0,16,10,6,12,3,9,52,59,44,45,34,11,25,18,7,20,16,4,53,23,30,2,2,0,2,2,0,0,0,0,1,1,0,2,0,2,1,1,0,1.25,1.5,1,3.5,5,2,2,3,1,1.5,2,1,1,2,0,0.5,1,0,0.5,1,0,3,3,3,3,1,1,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,3,3,0,0,0,0,1,1,1,1,1,1,2,2,75,75,75,75,25,25,100,100,100,100,50,50,50,50,50,50,0,0,25,25,25,25,75,75,0,0,0,0,50,50,50,50,50,50,100,100,2,1,1,2,1,1,0,0,0,50,25,25,100,50,50,0,0,0,25,50,0,9,25,0,50,75,100,50,25,0,50,25,50,0,2,0,2,50,0,100,3,1,2,75,50,100,1,1,0,25,50,0,25,50,0,50,0,100,25,50,0,4.00,5.00,3.00,3,1.5,4.50,100,75,75,50,25,25,25,25,1.73,2.22,0.76,1.49,1.23,2.03,75,0,0,2,0,2,0,2,0,1,0,0,1,0,1,0,0,0,3,75,50,100,0,0,0,25
Haiti National Team,Haiti,2023,Haiti,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,4,0,0,11,4,6,-2,10,7,3,3,1,4,2,-1,-1,68,60,90,45,45,45,0,0,0,3,2,1,0,0,0,1,0,1,19,10,9,5,4,1,43,42,45,36,18,18,15,7,8,21,11,10,38,26,12,2,1,1,2,1,1,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,3.33,3.5,3,1.33,1.5,1,2,2,2,1.33,1,2,0.67,0.5,1,0.67,0.5,1,3,3,3,1,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,0,2,3,3,0,0,0,1,2,2,0,0,0,1,1,1,100,100,100,33,0,0,100,100,100,50,0,0,100,100,100,0,0,0,0,0,0,67,100,100,0,0,0,50,100,100,0,0,0,100,100,100,2,2,0,1,1,0,1,1,0,67,67,0,50,50,0,100,100,0,33,50,0,0,0,0,0,100,100,100,0,0,0,33,0,100,1,1,0,33,50,0,1,1,0,33,50,0,2,1,1,67,50,100,0,0,0,100,100,100,0,0,0,6.33,5.00,9.00,1.67,2,1.00,67,67,67,67,33,33,33,33,0.63,1.13,0.00,1.24,1.74,0.00,100,0,1,0,0,1,0,0,1,1,0,1,0,0,2,2,0,0,1,0,0,0,67,50,100,33
Jamaica National Team,Jamaica,2023,Jamaica,5,3,2,0,3,2,1,1,0,1,1,1,0,2,2,2,2,0,0,3,11,5,6,16,13,3,9,2,4,1,5,1,41,30,90,90,68,180,2,1,1,2,1,1,1,1,0,4,2,2,21,13,8,12,6,6,50,55,41,54,36,18,26,18,8,28,18,10,67,40,27,6,5,1,2,2,0,4,3,1,3,2,1,1,0,1,1,1,0,2,2,2,3.2,4.33,1.5,2.2,3,1,1,1.33,0.5,1.6,2.33,0.5,1.2,1.67,0.5,0.4,0.67,0,5,4,3,2,2,0,3,3,3,2,2,0,2,1,0,0,0,0,0,1,2,3,3,5,0,0,0,1,1,3,0,1,2,2,2,2,100,80,60,40,40,0,100,100,100,67,67,0,100,50,0,0,0,0,0,20,40,60,60,100,0,0,0,33,33,100,0,50,100,100,100,100,4,3,1,3,3,1,1,0,0,80,60,20,100,100,33,50,0,0,60,67,50,2,40,33,50,40,33,50,20,33,0,80,67,100,4,2,2,80,67,100,2,1,1,40,33,50,0,0,0,0,0,0,60,67,50,20,0,50,20,33,0,4.20,4.33,4.00,2.4,2,3.00,80,40,40,20,20,0,0,0,1.38,1.52,1.17,1.15,0.94,1.47,60,0,3,2,0,2,1,0,2,1,1,0,1,0,1,0,0,0,2,20,0,50,20,33,0,0
Cuba National Team,Cuba,2023,Cuba,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,15,3,9,-6,12,5,7,1,2,4,5,-3,-3,90,90,90,30,23,36,0,0,0,2,1,1,1,0,1,0,0,0,13,5,8,11,4,7,48,57,44,24,12,12,9,4,5,15,8,7,55,15,40,1,0,1,5,3,2,-4,-3,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,5,3.5,1,1,1,3,4,2.5,2,3,1.5,0.33,0,0.5,1.67,3,1,3,2,2,2,2,1,1,1,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,2,0,0,0,0,0,1,0,1,1,1,1,1,100,67,67,67,67,33,100,100,100,100,100,0,100,50,50,50,50,50,0,33,33,33,33,67,0,0,0,0,0,100,0,50,50,50,50,50,2,2,2,1,1,1,1,1,1,67,67,67,100,100,100,50,50,50,0,0,0,-17,0,0,0,67,100,50,33,0,50,0,0,0,1,0,1,33,0,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,4.33,5.00,4.00,3.67,4,3.50,67,67,67,33,0,0,0,0,1.03,1.29,0.76,1.91,1.82,1.99,167,0,0,0,0,1,0,1,0,1,0,1,2,0,5,0,1,0,0,0,0,0,100,100,100,0
Panama National Team,Panama,2023,Panama,6,2,4,0,3,1,2,2,1,1,1,0,1,1.83,2,1.75,1,0,0,2,11,6,5,17,8,9,6,5,2,4,4,1,49,30,72,90,90,90,1,1,0,4,1,3,1,0,1,4,1,3,27,9,18,12,5,7,59,61,58,78,27,51,37,10,27,41,17,24,93,34,59,3,2,1,1,1,0,2,1,1,2,1,1,4,1,3,0,0,0,1.67,2,1.5,2.83,4,2.25,1.83,3,1.25,1,1,1,0.67,1.5,0.25,0.5,1,0.25,0.17,0.5,0,6,5,4,2,0,0,2,2,2,2,0,0,4,3,2,0,0,0,0,1,2,4,6,6,0,0,0,0,2,2,0,1,2,4,4,4,100,83,67,33,0,0,100,100,100,100,0,0,100,75,50,0,0,0,0,17,33,67,100,100,0,0,0,0,100,100,0,25,50,100,100,100,3,1,0,2,1,0,1,0,0,50,17,0,100,50,0,25,0,0,50,50,50,0,17,50,0,67,50,75,17,0,25,67,50,75,5,1,4,83,50,100,3,0,3,50,0,75,1,1,0,17,50,0,33,50,25,67,50,75,0,0,0,4.50,4.50,4.50,2,2.5,1.75,50,50,33,33,33,17,17,0,1.68,1.89,1.62,1.23,0.92,1.31,50,0,1,2,0,0,2,4,1,0,1,0,0,0,0,0,0,0,4,33,50,25,17,0,25,0
