timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1689987900,Jul 22 2023 - 1:05am,complete,N/A,Venados,Tlaxcala,N/A,1,0.00,0.00,2.41,0.71,3,1,4,2,1,1,"29,66,69","38",9,3,2,1,2,1,0,3,0,3,18,5,8,3,7,1,2,3,52,48,0.00,0.00,1.89,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.00,3.00,1.42,2.30,4.20,7.50,1.95,1.80,Estadio Olímpico Carlos Iturralde Rivero (Mérida)
1690067100,Jul 22 2023 - 11:05pm,complete,N/A,Tapatío,Cancún,N/A,1,0.00,0.00,0.94,1.11,0,0,0,0,0,0,"","",11,2,3,0,3,0,1,2,2,1,21,5,11,3,10,2,-1,-1,47,53,0.00,0.00,2.53,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.44,4.00,1.33,2.11,3.65,7.10,1.88,1.78,Estadio AKRON (Zapopan)
1690074300,Jul 23 2023 - 1:05am,complete,N/A,Correcaminos UAT,Dorados,N/A,1,0.00,0.00,1.80,0.50,2,0,2,0,0,0,"54,83","",8,4,2,0,4,0,2,0,1,3,23,7,13,6,10,1,-1,-1,54,46,0.00,0.00,2.80,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.88,5.20,1.28,1.85,3.20,5.85,1.87,1.87,Estadio Olímpico Ing. Marte R. Gómez (Ciudad Victoria)
1690135200,Jul 23 2023 - 6:00pm,complete,N/A,Tepatitlán de Morelos,Cimarrones de Sonora,N/A,1,0.00,0.00,1.47,1.19,1,1,2,0,0,0,"90'8","65",11,1,1,0,3,0,1,0,1,2,15,11,4,8,11,3,-1,-1,48,52,0.00,0.00,1.76,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.00,3.00,1.43,2.25,4.00,8.00,1.95,1.80,Estadio Gregorio Tepa Gómez (Tepatitlán de Morelos)
1690160700,Jul 24 2023 - 1:05am,complete,N/A,Mineros de Zacatecas,Morelia,N/A,1,0.00,0.00,2.00,0.73,4,0,4,2,2,0,"2,32,57,70","",3,3,2,0,2,0,1,1,1,1,12,8,8,3,4,5,-1,-1,64,36,0.00,0.00,1.62,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.50,2.50,1.22,1.72,2.80,4.75,1.60,2.25,Estadio Carlos Vega Villalba (Zacatecas)
1690247100,Jul 25 2023 - 1:05am,complete,N/A,Atlante,Leones Negros de la Universidad de Guadalajara,N/A,1,0.00,0.00,2.24,1.42,1,0,1,1,1,0,"17","",1,8,1,0,3,0,0,1,2,1,11,8,6,3,5,5,-1,-1,57,43,0.00,0.00,1.47,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.64,3.57,4.55,1.30,2.01,3.30,6.00,1.90,1.83,Estadio Ciudad de los Deportes (Ciudad de México (D.F.))
1690427100,Jul 27 2023 - 3:05am,complete,N/A,CA La Paz,Celaya,Edgar Ulises Rangel Araújo,1,0.00,0.00,1.78,1.27,2,1,3,0,0,0,"51,83","46",9,10,2,0,5,0,0,2,1,4,13,5,8,2,5,3,-1,-1,58,42,0.00,0.00,1.73,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.40,2.30,1.29,1.85,3.00,5.50,1.70,2.05,Estadio Guaycura (La Paz)
1690599900,Jul 29 2023 - 3:05am,complete,N/A,Correcaminos UAT,Mineros de Zacatecas,N/A,2,3.00,0.00,1.80,1.22,3,3,6,2,1,1,"1,49,74","33,88,90'1",5,4,1,0,1,1,0,1,2,0,19,14,8,6,11,8,-1,-1,48,52,2.80,0.00,2.09,1.53,1.00,0,50,0,0,0,0,0,50,50,8.00,2.00,1.85,3.50,3.60,1.22,1.70,2.85,4.75,1.65,2.18,Estadio Olímpico Ing. Marte R. Gómez (Ciudad Victoria)
1690671900,Jul 29 2023 - 11:05pm,complete,N/A,Tlaxcala,Atlante,N/A,2,0.00,0.00,0.64,1.57,1,2,3,1,0,1,"80","15,90'1",3,3,2,0,0,0,0,2,0,0,15,15,6,7,9,8,-1,-1,43,57,0.00,0.00,1.84,1.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.60,3.10,1.95,1.33,2.01,3.56,6.85,1.83,1.83,Estadio Tlahuicole (Tlaxcala)
1690679100,Jul 30 2023 - 1:05am,complete,N/A,Cancún,Venados,N/A,2,0.00,0.00,2.16,1.12,2,1,3,1,1,0,"10,56","68",8,3,4,0,4,0,1,3,1,3,8,9,5,3,3,6,-1,-1,61,39,0.00,0.00,1.23,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,3.10,2.70,1.36,2.15,4.00,8.50,1.85,1.91,Estadio Olímpico Andrés Quintana Roo (Cancún)
1690765500,Jul 31 2023 - 1:05am,complete,N/A,Leones Negros de la Universidad de Guadalajara,Cimarrones de Sonora,N/A,2,0.00,1.00,2.11,1.19,4,2,6,4,2,2,"32,45,70,90'5","22,40",5,4,2,2,4,1,2,2,3,2,12,11,7,4,5,7,-1,-1,59,41,0.00,1.56,1.64,1.42,1.00,50,50,0,0,0,0,0,50,50,1.00,3.00,2.10,3.34,3.34,1.25,1.86,3.10,6.00,1.72,1.95,Estadio Jalisco (Guadalajara)
1690772700,Jul 31 2023 - 3:05am,complete,N/A,Dorados,CA La Paz,N/A,2,0.00,0.00,1.14,1.28,3,4,7,1,0,1,"49,56,90'1","17,73,80,83",9,3,-1,-1,-1,-1,-1,-1,-1,-1,13,15,7,8,6,7,-1,-1,48,52,0.00,0.00,1.63,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.20,2.30,1.22,1.73,2.88,5.50,1.57,2.34,Estadio Dorados (Culiacán)
1690851900,Aug 01 2023 - 1:05am,complete,N/A,Zacatepec Siglo XXI,Tapatío,N/A,2,0.00,0.00,1.47,1.50,1,1,2,1,0,1,"71","15",-1,-1,2,0,1,1,1,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Tecnológico de Oaxaca (Oaxaca)
1691111100,Aug 04 2023 - 1:05am,complete,N/A,Leones Negros de la Universidad de Guadalajara,Zacatepec Siglo XXI,N/A,3,3.00,0.00,2.11,0.73,5,0,5,4,4,0,"3,26,30,43,80","",-1,-1,1,0,5,0,0,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.64,0.00,0.00,0.00,3.00,50,50,50,50,50,50,50,50,50,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Jalisco (Guadalajara)
1691276700,Aug 05 2023 - 11:05pm,complete,N/A,Mineros de Zacatecas,Tlaxcala,N/A,3,3.00,0.00,2.00,0.71,5,1,6,2,2,0,"22,35,53,66,82","86",2,4,0,0,2,1,0,0,0,3,19,9,8,3,11,6,-1,-1,56,44,1.62,0.80,2.14,1.02,4.00,50,100,100,100,0,100,100,100,100,6.00,6.00,1.50,4.38,5.99,1.17,1.66,2.51,4.45,1.73,2.00,Estadio Carlos Vega Villalba (Zacatecas)
1691283900,Aug 06 2023 - 1:05am,complete,N/A,Cancún,Correcaminos UAT,N/A,3,3.00,0.00,2.16,0.64,2,1,3,0,0,0,"50,63","48",7,4,2,1,2,1,0,3,1,2,11,8,7,5,4,3,-1,-1,55,45,1.23,0.00,1.53,1.14,1.50,50,50,50,0,0,0,50,50,50,8.00,4.00,2.88,3.26,2.50,1.36,2.10,3.75,6.90,1.83,1.90,Estadio Olímpico Andrés Quintana Roo (Cancún)
1691291100,Aug 06 2023 - 3:05am,complete,N/A,Cimarrones de Sonora,Dorados,N/A,3,0.00,0.00,1.60,0.50,2,0,2,0,0,0,"71,82","",8,4,1,0,3,0,0,1,2,1,13,3,8,0,5,3,-1,-1,57,43,0.00,1.03,1.90,0.41,1.00,0,50,0,0,0,0,0,50,50,4.00,4.00,1.40,4.60,7.21,1.22,1.72,2.85,4.75,1.92,1.84,Estadio Héroe de Nacozari (Hermosillo)
1691344800,Aug 06 2023 - 6:00pm,complete,N/A,Atlante,Tepatitlán de Morelos,Edgar Ulises Rangel Araújo,3,3.00,0.00,2.24,0.60,2,2,4,3,2,1,"2,23","25,58",10,1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,4,4,9,6,-1,-1,46,54,1.47,0.00,1.72,1.20,0.50,0,0,0,0,0,0,50,0,0,1.00,1.00,1.56,3.72,5.00,1.30,1.88,3.40,6.00,1.90,1.83,Estadio Ciudad de los Deportes (Ciudad de México (D.F.))
1691363100,Aug 06 2023 - 11:05pm,complete,N/A,Morelia,Celaya,N/A,3,0.00,0.00,1.50,1.27,1,0,1,0,0,0,"50","",6,4,3,0,5,1,0,3,3,3,6,5,4,2,2,3,14,14,50,50,0.00,0.75,0.92,0.79,1.50,50,50,50,0,0,0,0,50,50,10.00,5.00,2.00,3.15,3.15,1.30,1.95,3.40,6.75,1.64,2.00,Estadio Generalísimo José María Morelos y Pavón (Morelia)
1691377500,Aug 07 2023 - 3:05am,complete,N/A,CA La Paz,Tapatío,N/A,3,3.00,1.00,1.78,1.50,2,2,4,1,0,1,"52,86","25,64",7,5,4,0,5,0,1,3,1,4,7,10,4,7,3,3,-1,-1,53,47,1.73,0.00,1.06,1.49,2.50,100,100,50,0,0,0,50,50,100,9.00,5.00,2.10,3.40,3.40,1.21,1.75,2.71,5.00,1.60,2.14,Estadio Guaycura (La Paz)
1691715900,Aug 11 2023 - 1:05am,complete,N/A,Tapatío,Celaya,N/A,4,1.00,0.00,0.94,1.27,1,1,2,1,1,0,"45'5","63",7,7,2,1,4,0,0,3,1,3,9,10,2,6,7,4,-1,-1,53,47,2.53,0.77,1.08,1.44,1.00,25,25,25,0,0,0,0,25,50,18.00,9.00,2.19,3.22,3.14,1.32,1.95,3.48,6.85,1.80,1.86,Estadio AKRON (Zapopan)
1691795100,Aug 11 2023 - 11:05pm,complete,N/A,Mineros de Zacatecas,Zacatepec Siglo XXI,N/A,4,3.00,0.00,2.00,0.73,1,1,2,1,1,0,"14","56",-1,-1,2,0,5,3,0,2,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.88,0.00,0.00,0.00,5.00,25,100,100,100,75,100,100,50,100,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Carlos Vega Villalba (Zacatecas)
1691802300,Aug 12 2023 - 1:05am,complete,N/A,Venados,CA La Paz,N/A,4,3.00,3.00,2.41,1.28,1,3,4,2,0,2,"57","10,24,63",6,0,1,0,3,0,1,0,0,3,12,5,4,4,8,1,-1,-1,50,50,1.89,1.86,1.49,0.87,5.50,100,100,100,100,50,50,100,100,100,12.00,4.00,1.95,3.50,3.75,1.20,1.73,2.71,4.90,1.61,2.25,Estadio Olímpico Carlos Iturralde Rivero (Mérida)
1691888700,Aug 13 2023 - 1:05am,complete,N/A,Dorados,Cancún,N/A,4,0.00,1.00,1.14,1.11,1,0,1,0,0,0,"52","",3,8,6,0,1,0,0,6,0,1,9,17,3,7,6,10,-1,-1,41,59,1.63,0.75,0.93,1.91,3.50,50,50,50,50,50,0,50,50,50,11.00,3.00,3.08,3.30,2.24,1.28,1.97,3.20,6.15,1.72,1.95,Estadio Dorados (Culiacán)
1691895900,Aug 13 2023 - 3:05am,complete,N/A,Tepatitlán de Morelos,Leones Negros de la Universidad de Guadalajara,N/A,4,1.00,0.00,1.47,1.42,0,0,0,0,0,0,"","",5,4,1,0,4,0,1,0,2,2,8,10,5,3,3,7,-1,-1,51,49,1.76,1.20,1.26,1.28,1.50,50,50,0,0,0,0,50,50,50,19.00,4.00,2.38,3.32,2.83,1.29,1.98,3.28,6.30,1.73,1.95,Estadio Gregorio Tepa Gómez (Tepatitlán de Morelos)
1691967900,Aug 13 2023 - 11:05pm,complete,N/A,Morelia,Correcaminos UAT,Edgar Ulises Rangel Araújo,4,3.00,0.00,1.50,0.64,2,0,2,0,0,0,"67,85","",6,1,2,0,2,0,1,1,0,2,8,3,5,2,3,1,-1,-1,48,52,0.92,1.14,1.29,0.63,2.00,50,50,50,0,0,0,0,50,100,10.00,7.00,1.88,3.56,3.82,1.26,1.90,3.08,5.80,1.73,1.94,Estadio Generalísimo José María Morelos y Pavón (Morelia)
1691982300,Aug 14 2023 - 3:05am,complete,N/A,Cimarrones de Sonora,Atlante,N/A,4,3.00,3.00,1.60,1.57,0,0,0,0,0,0,"","",7,6,2,0,2,0,2,0,1,1,6,6,2,3,4,3,-1,-1,44,56,1.90,1.90,0.85,1.10,2.50,50,100,50,0,0,0,50,100,100,11.00,1.00,2.40,3.03,2.75,1.40,2.18,4.20,8.20,1.92,1.75,Estadio Héroe de Nacozari (Hermosillo)
1692147900,Aug 16 2023 - 1:05am,complete,N/A,Zacatepec Siglo XXI,Celaya,N/A,5,1.00,0.33,1.47,1.27,2,1,3,3,2,1,"1,38","28",-1,-1,4,0,3,0,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.99,0.00,0.00,2.00,84,84,17,0,0,0,67,17,100,7.00,7.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Tecnológico de Oaxaca (Oaxaca)
1692155100,Aug 16 2023 - 3:05am,complete,N/A,Dorados,Mineros de Zacatecas,N/A,5,1.50,1.00,1.14,1.22,4,0,4,0,0,0,"48,49,58,80","",8,4,3,0,0,2,0,3,2,0,11,4,5,0,6,4,-1,-1,50,50,1.28,1.53,1.42,0.46,5.00,75,75,75,75,75,50,75,75,100,10.00,9.00,2.90,3.25,2.10,1.18,1.56,2.55,4.20,1.53,2.40,Estadio Dorados (Culiacán)
1692227100,Aug 16 2023 - 11:05pm,complete,N/A,Atlante,CA La Paz,N/A,5,2.00,3.00,2.24,1.28,3,0,3,0,0,0,"47,54,86","",6,5,3,1,5,1,0,4,3,3,17,3,11,3,6,0,-1,-1,54,46,1.59,1.36,2.37,0.72,4.00,75,75,75,75,25,50,100,50,75,7.00,4.00,1.36,4.20,6.50,1.18,1.70,2.60,4.65,1.78,1.99,Estadio Ciudad de los Deportes (Ciudad de México (D.F.))
1692241500,Aug 17 2023 - 3:05am,complete,N/A,Correcaminos UAT,Tapatío,N/A,5,2.00,1.00,1.80,1.50,2,2,4,2,0,2,"61,79","10,18",5,1,2,0,2,0,0,2,0,2,17,14,8,7,9,7,-1,-1,51,49,2.45,1.49,2.10,1.61,3.50,75,100,50,50,25,25,75,75,100,11.50,5.50,1.92,3.40,3.66,1.31,1.95,3.28,6.19,1.81,1.95,Estadio Olímpico Ing. Marte R. Gómez (Ciudad Victoria)
1692313500,Aug 17 2023 - 11:05pm,complete,N/A,Leones Negros de la Universidad de Guadalajara,Venados,Edgar Ulises Rangel Araújo,5,3.00,0.00,2.11,1.12,4,1,5,2,2,0,"5,12,52,70","57",0,5,0,1,1,1,0,1,1,1,8,21,6,8,2,13,-1,-1,58,42,1.64,1.21,1.28,2.47,4.25,75,100,100,50,50,50,100,75,100,8.00,7.00,1.87,3.58,3.78,1.22,1.79,2.80,5.35,1.65,2.10,Estadio Gregorio Tepa Gómez (Tepatitlán de Morelos)
1692399900,Aug 18 2023 - 11:05pm,complete,N/A,Tlaxcala,Cimarrones de Sonora,N/A,5,0.00,0.50,0.64,1.19,1,2,3,2,1,1,"14","23,85",5,4,3,0,2,0,0,3,1,1,16,11,12,10,4,1,-1,-1,52,48,1.84,1.49,2.45,1.99,3.50,100,100,75,25,25,25,75,100,100,5.50,6.00,3.00,3.00,2.15,1.30,2.05,3.42,6.60,1.76,2.01,Estadio Tlahuicole (Tlaxcala)
1692486300,Aug 19 2023 - 11:05pm,complete,N/A,Celaya,Tepatitlán de Morelos,N/A,2,0.00,1.00,1.53,0.60,1,1,2,2,1,1,"23","14",6,4,0,0,4,0,0,0,0,4,16,11,12,10,4,1,-1,-1,52,48,0.00,1.20,2.14,1.59,2.00,50,50,50,50,0,50,50,0,50,1.00,0.00,1.57,3.75,4.80,1.25,1.80,3.00,6.00,1.75,2.03,Estadio Miguel Alemán Valdés (Celaya)
1692493500,Aug 20 2023 - 1:05am,complete,N/A,Cancún,Morelia,N/A,5,3.00,0.00,2.16,0.73,2,0,2,2,2,0,"11,18","",5,7,3,0,2,0,1,2,1,1,14,8,6,0,8,8,-1,-1,53,47,1.38,1.19,1.78,0.90,3.50,50,100,100,50,0,50,75,100,100,10.50,6.00,2.40,3.15,2.65,1.32,2.10,3.56,6.95,1.79,1.98,Estadio Olímpico Andrés Quintana Roo (Cancún)
1692745500,Aug 22 2023 - 11:05pm,complete,N/A,Celaya,Atlante,N/A,6,1.00,2.00,1.53,1.57,0,0,0,0,0,0,"","",5,3,5,0,4,0,3,2,3,1,8,2,2,0,6,2,-1,-1,45,55,2.14,1.50,1.09,0.36,1.75,75,75,25,0,0,50,75,25,25,10.50,1.00,2.66,3.01,2.89,1.43,2.25,4.00,8.00,1.91,1.76,Estadio Miguel Alemán Valdés (Celaya)
1692752700,Aug 23 2023 - 1:05am,complete,N/A,CA La Paz,Leones Negros de la Universidad de Guadalajara,N/A,6,2.00,0.50,1.78,1.42,3,0,3,2,2,0,"9,34,75","",5,4,3,0,2,0,1,2,1,1,10,9,7,2,3,7,-1,-1,61,39,1.40,1.24,1.42,1.04,2.00,50,50,50,25,0,0,50,50,50,14.00,6.50,2.57,3.39,2.69,1.22,1.68,2.65,4.80,1.57,2.25,Estadio Guaycura (La Paz)
1692759900,Aug 23 2023 - 3:05am,complete,N/A,Venados,Correcaminos UAT,N/A,6,1.50,0.00,2.41,0.64,4,3,7,1,0,1,"50,87,88,90'3","24,55,76",7,6,1,0,2,0,0,1,1,1,11,11,8,5,3,6,-1,-1,54,46,1.69,0.89,1.54,1.34,3.25,75,100,75,50,0,50,50,100,100,10.00,5.50,2.20,3.33,3.33,1.30,2.01,3.30,6.00,1.75,1.95,Estadio Olímpico Carlos Iturralde Rivero (Mérida)
