timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1752270300,Jul 11 2025 - 9:45pm,complete,16866,Necaxa Women,Mazatlán W,N/A,1,0.00,0.00,1.33,0.00,2,1,3,1,1,0,"1,61","82",1,6,2,0,1,0,1,1,0,1,8,9,4,3,4,6,-1,-1,50,50,0.00,0.00,1.03,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.10,2.70,0.00,1.85,0.00,0.00,0.00,0.00,N/A
1752270300,Jul 11 2025 - 9:45pm,complete,N/A,Querétaro Women,Santos Laguna Women,N/A,1,0.00,0.00,0.50,0.43,1,1,2,0,0,0,"","",6,4,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,2,1,0,-1,-1,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,3.75,6.00,1.23,1.85,3.14,6.50,1.88,1.78,N/A
1752270300,Jul 11 2025 - 9:45pm,complete,16866,Necaxa Women,Mazatlán W,N/A,1,0.00,0.00,1.33,0.00,2,1,3,0,0,0,"","",1,6,0,0,0,0,0,0,0,0,8,9,2,4,6,5,8,17,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1752282000,Jul 12 2025 - 1:00am,complete,N/A,Querétaro Women,Santos Laguna Women,N/A,1,1.00,1.00,0.50,0.43,1,1,2,0,0,0,"9003","77",6,3,2,0,2,0,1,1,0,2,3,2,3,3,0,-1,9,17,57,43,0.00,0.00,0.62,0.52,2.00,100,100,0,0,0,0,0,0,0,10.00,0.00,1.57,3.70,5.00,1.24,1.80,3.20,6.65,1.87,1.79,N/A
1752361200,Jul 12 2025 - 11:00pm,complete,13667,León Women,Tijuana Women,N/A,1,0.00,0.00,1.00,0.29,1,1,2,1,0,1,"69","26",2,2,2,0,4,0,0,2,1,3,15,13,6,7,9,6,13,17,54,46,0.00,0.00,1.78,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.20,3.05,0.00,1.85,0.00,0.00,0.00,0.00,N/A
1752361200,Jul 12 2025 - 11:00pm,complete,13667,León Women,Tijuana Women,N/A,1,0.00,0.00,1.00,0.29,1,1,2,0,0,0,"","",2,2,-1,-1,-1,-1,-1,-1,-1,-1,15,13,7,7,8,6,-1,-1,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1752375600,Jul 13 2025 - 3:00am,complete,10704,Juárez W,Atlas Women,N/A,1,0.00,0.00,1.71,0.67,1,1,2,1,1,0,"32","57",4,2,2,0,3,0,0,2,1,2,4,4,3,3,1,1,11,12,63,37,0.00,0.00,0.77,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.20,3.40,0.00,1.91,0.00,0.00,0.00,0.00,N/A
1752375600,Jul 13 2025 - 3:00am,complete,10704,Juárez W,Atlas Women,N/A,1,0.00,0.00,1.71,0.67,1,1,2,0,0,0,"","",4,2,-1,-1,-1,-1,-1,-1,-1,-1,4,4,2,2,2,2,-1,-1,57,43,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1752429600,Jul 13 2025 - 6:00pm,complete,N/A,Pumas UNAM Women,Monterrey Women,N/A,1,0.00,0.00,2.14,1.25,4,0,4,1,1,0,"34,49,55,87","",3,7,3,0,1,0,1,2,0,1,23,13,7,3,16,10,11,10,42,58,0.00,0.00,2.28,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,3.45,2.15,0.00,1.37,2.28,0.00,0.00,0.00,N/A
1752429600,Jul 13 2025 - 6:00pm,complete,37561,Puebla Women,Pachuca Women,N/A,1,0.00,0.00,0.00,2.67,1,5,6,5,1,4,"42","19,20,31,34,87",3,5,1,0,2,0,0,1,1,1,8,14,2,8,6,6,10,11,34,66,0.00,0.00,1.07,2.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,20.00,10.00,1.05,0.00,1.35,1.70,0.00,0.00,0.00,N/A
