timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1752282000,Jul 12 2025 - 1:00am,complete,N/A,Puebla,Atlas,N/A,1,0.00,0.00,0.57,0.71,2,3,5,2,1,1,"29,85","24,51,71",4,3,3,0,2,0,1,2,0,2,17,8,4,4,13,4,16,12,67,33,0.00,0.00,1.59,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.54,3.09,2.80,1.41,2.30,4.00,8.17,1.93,1.80,Estadio Cuauhtémoc
1752289200,Jul 12 2025 - 3:00am,complete,N/A,Juárez,América,N/A,1,0.00,0.00,1.57,2.43,1,1,2,1,0,1,"80","39",3,4,2,0,1,1,0,2,1,1,9,6,3,2,6,4,15,12,55,45,0.00,0.00,1.04,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.35,3.25,1.71,1.44,2.42,4.33,10.00,2.10,1.67,Estadio Olímpico Benito Juárez
1752289500,Jul 12 2025 - 3:05am,complete,N/A,Tijuana,Querétaro,N/A,1,0.00,0.00,1.71,0.57,1,0,1,1,1,0,"45'3","",6,3,1,0,1,0,1,0,0,1,12,5,3,2,9,3,16,15,60,40,0.00,0.00,1.25,0.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.10,5.50,1.20,1.66,2.68,4.80,1.70,1.95,Estadio Caliente
1752368400,Jul 13 2025 - 1:00am,complete,N/A,Toluca,Necaxa,N/A,1,0.00,0.00,1.86,0.71,3,1,4,3,2,1,"41,27,90","21",7,4,2,0,2,0,2,0,1,1,21,11,7,4,14,7,11,13,55,45,0.00,0.00,2.08,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.52,4.45,5.40,1.19,1.50,2.46,3.80,1.67,2.20,Estadio Nemesio Díez
1752368400,Jul 13 2025 - 1:00am,complete,N/A,Santos Laguna,Pumas UNAM,N/A,1,0.00,0.00,0.86,1.29,3,0,3,1,1,0,"14,54,89","",1,5,2,0,5,0,1,1,2,3,8,10,4,2,4,8,16,16,45,55,0.00,0.00,1.01,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.45,2.50,1.30,1.95,3.30,6.00,1.73,2.00,Estadio Nuevo Corona
1752375900,Jul 13 2025 - 3:05am,complete,N/A,Cruz Azul,Mazatlán,N/A,1,0.00,0.00,2.43,0.86,0,0,0,0,0,0,"","",12,2,2,0,4,0,2,0,1,3,14,7,4,0,10,7,8,9,74,26,0.00,0.00,1.84,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.13,5.90,10.00,1.15,1.62,2.46,4.30,2.25,1.65,Estadio Azteca
1752447600,Jul 13 2025 - 11:00pm,complete,N/A,Pachuca,Monterrey,N/A,1,0.00,0.00,1.86,2.57,3,0,3,0,0,0,"51,55,78","",3,7,3,0,3,0,2,1,1,2,16,12,6,3,10,9,7,12,41,59,0.00,0.00,1.43,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.02,3.45,3.45,1.29,1.95,2.90,4.90,1.69,2.05,Estadio Hidalgo
1752454800,Jul 14 2025 - 1:00am,complete,N/A,León,Atlético San Luis,N/A,1,0.00,0.00,1.43,0.86,0,1,1,0,0,0,"","90'1",4,6,3,0,3,0,0,3,1,2,10,12,3,4,7,8,12,10,46,54,0.00,0.00,1.08,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.60,4.40,1.25,1.97,2.90,5.25,1.75,2.00,N/A
1752714000,Jul 17 2025 - 1:00am,complete,N/A,América,Tijuana,N/A,2,1.00,3.00,2.43,1.71,3,1,4,1,1,0,"35,64,90","56",8,1,3,0,0,0,0,3,0,0,18,8,9,2,9,6,11,11,67,33,0.76,1.25,2.42,1.00,1.50,50,50,0,0,0,0,100,0,50,10.00,4.00,1.24,5.00,8.80,1.15,1.44,2.25,3.80,1.72,1.97,Estadio Azteca
1752721500,Jul 17 2025 - 3:05am,complete,N/A,Santos Laguna,Toluca,N/A,2,3.00,3.00,0.86,1.86,2,4,6,3,2,1,"14,27","43,48,63,90'5",5,4,1,1,1,0,1,1,1,0,11,20,6,10,5,10,8,20,33,67,1.01,2.08,1.13,1.99,3.50,50,100,100,50,0,50,100,50,100,8.00,4.00,3.10,3.45,2.05,1.20,1.66,2.53,4.60,1.55,2.42,Estadio Nuevo Corona
