team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
CF Pachuca,Pachuca,2020/2021,Mexico,42,21,21,0,15,8,7,14,6,8,13,7,6,1.4,1.43,1.38,7,11,4,6,50,42,8,92,47,45,25,25,22,20,3,5,76,76,76,90,86,95,14,5,9,19,11,8,14,7,7,16,6,10,228,120,108,85,44,41,51,54,49,587,303,284,192,102,90,395,201,194,524,275,249,18,9,9,21,11,10,-3,-2,-1,9,4,5,22,10,12,11,7,4,1.17,1.05,1.29,2.19,2.24,2.14,1.19,1.19,1.19,1,1.05,0.95,0.93,0.95,0.9,0.43,0.43,0.43,0.5,0.52,0.48,37,23,13,10,4,4,19,11,7,5,2,2,18,12,6,5,2,2,5,19,29,32,38,38,2,10,14,16,19,19,3,9,15,16,19,19,88,55,31,24,10,10,90,52,33,24,10,10,86,57,29,24,10,10,12,45,69,76,90,90,10,48,67,76,90,90,14,43,71,76,90,90,24,11,4,13,5,2,11,6,2,57,26,10,62,24,10,52,29,10,36,38,33,-3,33,24,43,45,52,38,33,33,33,38,29,48,24,10,14,57,48,67,28,15,13,67,71,62,8,4,4,19,19,19,21,19,24,52,48,57,26,33,19,5.43,5.71,5.14,2.02,2.1,1.95,86,74,56,55,43,36,26,12,1.60,1.70,1.50,1.40,1.29,1.50,43,3,4,2,6,6,4,8,5,12,5,1,7,3,7,4,5,2,8,33,29,38,31,33,29,10
Club Tijuana Xoloitzcuintles de Caliente,Tijuana,2020/2021,Mexico,34,17,17,0,9,8,1,8,3,5,17,6,11,1.03,1.59,0.47,14,13,16,14,31,48,-17,79,38,41,20,11,18,30,2,-19,99,76,138,64,85,51,8,6,2,14,7,7,16,7,9,13,10,3,127,67,60,85,38,47,54,54,53,379,208,171,142,77,65,237,131,106,520,276,244,19,14,5,26,9,17,-7,5,-12,9,6,3,10,8,2,15,3,12,1.09,1.53,0.65,2.32,2.24,2.41,0.91,1.18,0.65,1.41,1.06,1.76,1.32,1.35,1.29,0.56,0.82,0.29,0.76,0.53,1,30,24,14,8,3,0,14,11,7,4,2,0,16,13,7,4,1,0,4,10,20,26,31,34,3,6,10,13,15,17,1,4,10,13,16,17,88,71,41,24,9,0,82,65,41,24,12,0,94,76,41,24,6,0,12,29,59,76,91,100,18,35,59,76,88,100,6,24,59,76,94,100,27,11,5,12,6,3,15,5,2,79,32,15,71,35,18,88,29,12,26,47,6,28,24,35,12,41,41,41,47,41,53,38,59,18,12,8,4,35,47,24,21,8,13,62,47,76,8,6,2,24,35,12,26,35,18,29,47,12,44,18,71,3.74,3.94,3.53,2.5,2.24,2.76,82,65,56,47,35,26,12,6,1.18,1.30,1.07,1.56,1.36,1.75,44,6,4,4,4,2,4,0,1,6,7,3,5,8,5,7,2,4,7,24,18,29,50,35,65,3
Club América,América,2020/2021,Mexico,38,19,19,0,23,14,9,7,3,4,8,2,6,2,2.37,1.63,1,4,2,3,65,41,24,106,56,50,38,27,18,23,20,4,53,45,63,83,95,74,12,6,6,24,13,11,3,0,3,22,13,9,192,90,102,60,27,33,53,54,53,526,290,236,212,119,93,314,171,143,503,271,232,27,18,9,20,9,11,7,9,-2,14,9,5,17,8,9,7,2,5,1.55,1.84,1.26,2.79,2.95,2.63,1.71,2,1.42,1.08,0.95,1.21,1.24,1.42,1.05,0.71,0.95,0.47,0.53,0.47,0.58,37,30,21,13,4,1,19,16,12,7,1,1,18,14,9,6,3,0,1,8,17,25,34,37,0,3,7,12,18,18,1,5,10,13,16,19,97,79,55,34,11,3,100,84,63,37,5,5,95,74,47,32,16,0,3,21,45,66,89,97,0,16,37,63,95,95,5,26,53,68,84,100,29,14,3,16,9,2,13,5,1,76,37,8,84,47,11,68,26,5,61,74,47,15,32,32,32,63,68,58,8,0,16,58,68,47,22,11,11,58,58,58,16,5,11,42,26,58,9,6,3,24,32,16,37,47,26,45,42,47,18,11,26,5.05,4.74,5.37,1.58,1.42,1.74,84,79,45,39,28,26,16,11,1.63,1.76,1.48,1.34,1.26,1.41,68,3,3,7,6,10,10,5,8,13,5,2,6,5,2,3,6,5,7,18,16,21,21,11,32,5
CSyD Atlas de Guadalajara,Atlas,2020/2021,Mexico,37,19,18,0,11,7,4,9,2,7,17,10,7,1.14,1.21,1.06,11,16,10,12,32,38,-6,70,35,35,15,17,20,18,-5,-1,105,114,96,87,86,90,13,6,7,14,6,8,14,7,7,13,7,6,192,98,94,89,47,42,48,50,45,535,290,245,167,84,83,368,206,162,459,228,231,13,5,8,19,10,9,-6,-5,-1,6,3,3,21,9,12,10,7,3,1.05,0.95,1.17,1.89,1.84,1.94,0.86,0.79,0.94,1.03,1.05,1,0.86,0.79,0.94,0.35,0.26,0.44,0.51,0.53,0.5,33,18,9,6,3,1,19,10,4,2,0,0,14,8,5,4,3,1,4,19,28,31,34,36,0,9,15,17,19,19,4,10,13,14,15,17,89,49,24,16,8,3,100,53,21,11,0,0,78,44,28,22,17,6,11,51,76,84,92,97,0,47,79,89,100,100,22,56,72,78,83,94,21,9,2,12,3,0,9,6,2,57,24,5,63,16,0,50,33,11,30,37,22,-5,35,32,39,38,32,44,38,37,39,35,37,33,21,10,11,57,53,61,25,14,11,68,74,61,7,2,5,19,11,28,16,16,17,57,47,67,27,37,17,5.19,5.16,5.22,2.41,2.47,2.33,86,76,62,54,43,27,22,8,1.54,1.62,1.46,1.25,1.13,1.38,41,4,2,3,3,2,4,1,4,9,4,2,2,8,4,3,3,2,10,24,11,39,46,53,39,8
Club Universidad Nacional,Pumas UNAM,2020/2021,Mexico,40,20,20,0,14,8,6,16,9,7,10,3,7,1.45,1.65,1.25,15,7,9,8,45,36,9,81,44,37,30,15,14,22,16,-7,80,60,120,100,129,82,15,9,6,16,8,8,15,6,9,18,10,8,196,118,78,100,48,52,47,49,45,476,278,198,157,93,64,319,185,134,531,270,261,17,11,6,18,5,13,-1,6,-7,10,7,3,20,10,10,10,3,7,1.25,1.55,0.95,2.03,2.2,1.85,1.13,1.5,0.75,0.9,0.7,1.1,0.88,0.8,0.95,0.43,0.55,0.3,0.45,0.25,0.65,34,24,14,7,2,0,17,12,8,5,2,0,17,12,6,2,0,0,6,16,26,33,38,40,3,8,12,15,18,20,3,8,14,18,20,20,85,60,35,18,5,0,85,60,40,25,10,0,85,60,30,10,0,0,15,40,65,82,95,100,15,40,60,75,90,100,15,40,70,90,100,100,22,8,5,10,3,3,12,5,2,55,20,13,50,15,15,60,25,10,35,40,30,28,38,45,30,40,40,40,38,30,45,45,50,40,27,16,11,68,80,55,26,12,14,65,60,70,5,2,3,13,10,15,25,35,15,50,50,50,25,15,35,4.90,5.90,3.90,2.5,2.4,2.60,85,80,60,50,40,30,23,15,1.17,1.34,0.98,1.44,1.29,1.60,43,2,4,3,4,5,6,5,4,12,4,4,2,5,3,2,5,4,7,40,45,35,25,15,35,10
Tigres UANL,Tigres UANL,2020/2021,Mexico,38,19,19,0,15,8,7,12,5,7,11,6,5,1.5,1.53,1.47,9,12,5,10,50,41,9,91,52,39,28,22,24,17,4,5,68,61,78,83,71,101,13,4,9,20,13,7,8,2,6,21,11,10,191,95,96,77,45,32,58,59,57,520,263,257,201,106,95,319,157,162,430,214,216,18,11,7,12,7,5,6,4,2,9,6,3,22,8,14,7,5,2,1.29,1.37,1.21,2.39,2.74,2.05,1.32,1.47,1.16,1.08,1.26,0.89,0.79,0.95,0.63,0.47,0.58,0.37,0.32,0.37,0.26,35,30,15,8,3,0,19,18,10,4,1,0,16,12,5,4,2,0,3,8,23,30,35,38,0,1,9,15,18,19,3,7,14,15,17,19,92,79,39,21,8,0,100,95,53,21,5,0,84,63,26,21,11,0,8,21,61,79,92,100,0,5,47,79,95,100,16,37,74,79,89,100,21,9,0,13,5,0,8,4,0,55,24,0,68,26,0,42,21,0,39,42,37,-3,34,21,47,53,68,37,21,11,32,55,58,53,26,12,14,68,63,74,24,11,13,63,58,68,5,2,3,13,11,16,24,32,16,58,42,74,18,26,11,5.03,5.00,5.05,2.03,2.37,1.68,76,66,57,42,26,21,16,11,1.62,1.65,1.58,1.26,1.19,1.33,45,3,5,1,8,3,3,10,8,9,2,1,4,1,4,7,3,6,13,32,26,37,29,32,26,3
Deportivo Toluca FC,Toluca,2020/2021,Mexico,38,18,20,0,13,11,2,8,3,5,17,4,13,1.24,2,0.55,10,5,14,11,55,60,-5,115,55,60,34,21,21,39,13,-18,62,48,86,57,77,46,9,6,3,25,10,15,7,3,4,16,10,6,167,93,74,89,35,54,49,50,47,437,224,213,169,87,82,268,137,131,493,232,261,29,17,12,29,6,23,0,11,-11,9,8,1,21,9,12,8,1,7,1.26,1.83,0.75,3.03,3.06,3,1.45,1.89,1.05,1.58,1.17,1.95,1.53,1.28,1.75,0.76,0.94,0.6,0.76,0.33,1.15,35,29,23,16,9,1,17,14,10,7,4,1,18,15,13,9,5,0,3,9,15,22,29,37,1,4,8,11,14,17,2,5,7,11,15,20,92,76,61,42,24,3,94,78,56,39,22,6,90,75,65,45,25,0,8,24,39,58,76,97,6,22,44,61,78,94,10,25,35,55,75,100,27,22,7,12,8,3,15,14,4,71,58,18,67,44,17,75,70,20,34,61,10,28,24,33,15,66,56,75,18,17,20,42,56,30,18,12,6,47,67,30,16,7,9,42,39,45,15,5,10,39,28,50,24,44,5,55,50,60,21,6,35,4.39,5.17,3.70,2.34,1.94,2.70,82,71,57,47,39,24,18,8,1.33,1.41,1.26,1.74,1.74,1.73,95,3,7,9,6,7,9,3,5,6,2,9,8,9,2,10,5,5,10,21,17,25,45,22,65,8
Club Santos Laguna,Santos Laguna,2020/2021,Mexico,42,22,20,0,17,14,3,11,4,7,14,4,10,1.48,2.09,0.8,5,3,11,4,54,41,13,95,56,39,39,15,17,24,22,-9,70,51,120,92,117,75,13,10,3,20,10,10,12,4,8,21,13,8,256,156,100,66,27,39,51,53,49,620,355,265,205,125,80,415,230,185,527,277,250,26,16,10,17,8,9,9,8,1,15,7,8,17,11,6,10,4,6,1.48,1.45,1.5,2.26,2.55,1.95,1.29,1.77,0.75,0.98,0.77,1.2,1.02,1.09,0.95,0.62,0.73,0.5,0.4,0.36,0.45,39,30,17,7,2,0,20,17,12,5,2,0,19,13,5,2,0,0,3,12,25,35,40,42,2,5,10,17,20,22,1,7,15,18,20,20,93,71,40,17,5,0,91,77,55,23,9,0,95,65,25,10,0,0,7,29,60,83,95,100,9,23,45,77,91,100,5,35,75,90,100,100,30,12,1,15,9,0,15,3,1,71,29,2,68,41,0,75,15,5,40,64,15,29,31,45,15,48,45,50,29,18,40,50,59,40,27,14,13,64,64,65,22,11,11,52,50,55,5,4,1,12,18,5,36,32,40,40,50,30,24,18,30,6.10,7.09,5.00,1.57,1.23,1.95,95,81,69,69,60,48,45,31,1.83,2.02,1.62,1.44,1.28,1.62,50,5,2,8,8,5,9,7,4,6,2,4,5,2,5,6,5,6,6,26,18,35,33,18,50,19
Querétaro FC,Querétaro,2020/2021,Mexico,35,17,18,0,9,9,0,7,4,3,19,4,15,0.97,1.82,0.17,12,9,18,16,42,58,-16,100,45,55,28,14,17,41,11,-27,75,55,115,54,90,39,6,5,1,21,10,11,9,2,7,14,13,1,163,81,82,81,29,52,41,39,43,402,212,190,154,87,67,248,125,123,427,199,228,21,13,8,26,3,23,-5,10,-15,9,8,1,12,7,5,14,2,12,1.11,1.82,0.44,2.86,2.65,3.06,1.2,1.65,0.78,1.66,1,2.28,1.34,0.94,1.72,0.6,0.76,0.44,0.74,0.18,1.28,34,25,21,12,7,1,17,11,8,6,3,0,17,14,13,6,4,1,1,10,14,23,28,34,0,6,9,11,14,17,1,4,5,12,14,17,97,71,60,34,20,3,100,65,47,35,18,0,94,78,72,33,22,6,3,29,40,66,80,97,0,35,53,65,82,100,6,22,28,67,78,94,26,14,5,11,5,0,15,9,5,74,40,14,65,29,0,83,50,28,26,53,0,39,17,29,6,60,59,61,26,12,39,40,76,6,17,14,3,49,82,17,19,8,11,54,47,61,8,1,7,23,6,39,26,47,6,34,41,28,40,12,67,4.66,4.76,4.56,2.31,1.71,2.89,97,83,71,56,46,43,31,20,1.17,1.27,1.08,1.54,1.48,1.59,77,3,2,8,2,8,4,7,4,4,4,4,7,7,5,5,7,7,12,20,24,17,54,24,83,14
Club Necaxa,Necaxa,2020/2021,Mexico,35,17,18,0,9,6,3,8,4,4,18,7,11,1,1.29,0.72,18,17,12,15,30,50,-20,80,39,41,16,14,23,27,-7,-13,105,96,115,63,67,60,8,5,3,16,7,9,12,6,6,15,7,8,143,75,68,90,39,51,46,48,44,409,219,190,148,78,70,261,141,120,463,247,216,12,5,7,23,13,10,-11,-8,-3,5,2,3,17,7,10,13,8,5,0.91,0.76,1.06,2.29,2.29,2.28,0.86,0.94,0.78,1.43,1.35,1.5,1,1.06,0.94,0.34,0.29,0.39,0.66,0.76,0.56,34,22,13,7,3,1,16,11,6,3,2,1,18,11,7,4,1,0,1,13,22,28,32,34,1,6,11,14,15,16,0,7,11,14,17,18,97,63,37,20,9,3,94,65,35,18,12,6,100,61,39,22,6,0,3,37,63,80,91,97,6,35,65,82,88,94,0,39,61,78,94,100,23,10,2,12,5,1,11,5,1,66,29,6,71,29,6,61,28,6,26,35,17,8,23,29,17,46,41,50,34,35,33,43,41,44,17,7,10,49,41,56,23,12,11,66,71,61,7,3,4,20,18,22,14,12,17,49,41,56,37,47,28,4.09,4.41,3.78,2.57,2.29,2.83,80,74,69,54,40,26,17,14,1.18,1.30,1.07,1.50,1.31,1.68,51,3,1,1,4,4,3,5,3,6,2,4,5,7,6,9,3,5,9,23,24,22,51,41,61,6
