timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1614126600,Feb 24 2021 - 12:30am,complete,N/A,Liverpool FC Montevideo,CD Universidad Católica,N/A,N/A,0.00,0.00,1.50,1.00,2,1,3,1,0,1,"68,90'2","27",3,5,1,0,4,0,0,1,1,3,17,10,7,5,10,5,8,15,54,46,0.00,0.00,2.21,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.50,3.40,1.30,2.10,3.40,7.00,1.80,1.95,Parque Alfredo Víctor Viera
1614204900,Feb 24 2021 - 10:15pm,complete,N/A,César Vallejo,Caracas,N/A,N/A,0.00,0.00,0.50,1.00,0,0,0,0,0,0,"","",2,5,3,0,0,0,1,2,0,0,11,6,4,2,7,4,19,27,69,31,0.00,0.00,1.24,0.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.42,3.10,2.65,1.50,2.60,5.00,11.00,2.20,1.62,Estadio Monumental
1614213000,Feb 25 2021 - 12:30am,complete,N/A,Royal Pari,Guaraní,N/A,N/A,0.00,0.00,0.50,1.00,1,4,5,3,0,3,"72","3,20,45,75",5,3,3,0,5,0,1,2,1,4,14,13,4,7,10,6,16,18,56,44,0.00,0.00,1.71,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.50,1.45,1.25,1.85,3.00,6.00,1.70,2.05,Estadio Ramón Aguilera Costas
1614731400,Mar 03 2021 - 12:30am,complete,N/A,CD Universidad Católica,Liverpool FC Montevideo,N/A,N/A,0.00,3.00,1.00,1.50,3,0,3,2,2,0,"37,44,74","",6,6,3,0,2,0,2,1,0,2,13,15,6,5,7,10,13,7,52,48,1.53,2.21,1.90,1.87,3.00,100,100,100,0,0,0,100,100,100,8.00,5.00,1.33,4.50,8.00,1.18,1.57,2.50,4.33,1.91,1.91,Estadio Olímpico Atahualpa
1614809700,Mar 03 2021 - 10:15pm,complete,N/A,Caracas,César Vallejo,N/A,N/A,1.00,1.00,1.00,0.50,2,0,2,1,1,0,"20,90'5","",5,6,0,0,4,1,0,0,1,4,12,9,6,3,6,6,18,18,30,70,0.70,1.24,1.54,1.28,0.00,0,0,0,0,0,0,0,0,0,7.00,3.00,1.49,3.00,2.50,0.00,2.60,0.00,0.00,2.10,1.65,Estadio Olímpico de la UCV
1614817800,Mar 04 2021 - 12:30am,complete,N/A,Guaraní,Royal Pari,N/A,N/A,3.00,0.00,1.00,0.50,1,1,2,0,0,0,"58","74",5,2,3,0,3,0,2,1,1,2,10,14,7,3,3,11,15,23,51,49,1.67,1.71,1.61,1.54,5.00,100,100,100,100,100,100,100,100,100,8.00,8.00,1.13,5.00,6.25,0.00,1.44,0.00,0.00,1.74,2.10,Estadio Luís Alfonso Giagni
1615328100,Mar 09 2021 - 10:15pm,complete,N/A,Wanderers,Bolívar,N/A,N/A,0.00,0.00,1.50,1.50,1,0,1,0,0,0,"55","",2,5,2,0,2,1,1,1,0,3,21,12,8,4,13,8,16,19,47,53,0.00,0.00,2.51,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.42,3.40,2.60,1.30,2.05,3.50,7.00,1.80,1.95,Parque Alfredo Víctor Viera
1615328100,Mar 09 2021 - 10:15pm,complete,N/A,Santos,Deportivo Lara,N/A,N/A,0.00,0.00,1.40,0.50,2,1,3,0,0,0,"50,71","52",10,5,2,0,3,0,1,1,1,2,9,9,8,4,1,5,6,14,67,33,0.00,0.00,1.92,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.08,4.75,6.70,1.33,1.95,3.50,7.00,2.38,1.53,Estádio Urbano Caldeira
1615336200,Mar 10 2021 - 12:30am,complete,N/A,Unión Española,CSD Independiente del Valle,N/A,N/A,0.00,0.00,1.50,1.40,1,0,1,0,0,0,"56","",4,3,3,0,2,0,0,3,1,1,6,9,3,5,3,4,18,13,36,64,0.00,0.00,0.96,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.50,1.72,1.22,1.73,2.75,5.50,1.62,2.20,Estadio Santa Laura-Universidad SEK
1615414500,Mar 10 2021 - 10:15pm,complete,N/A,CD Universidad Católica,Libertad,N/A,N/A,1.50,0.00,1.00,1.75,0,1,1,1,0,1,"","38",11,3,2,0,4,0,1,1,2,2,18,11,5,6,13,5,17,20,66,34,1.71,0.00,2.13,1.54,1.50,25,50,50,0,0,25,50,25,50,5.50,3.50,1.73,3.50,5.00,0.00,2.20,0.00,0.00,0.00,0.00,Estadio Olímpico Atahualpa
