team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Santos FC Sao Paulo,Santos,2017,Brazil,10,5,5,0,5,4,1,4,0,4,1,1,0,1.9,2.4,1.4,1,0,0,7,16,8,8,24,13,11,10,6,3,5,7,1,56,45,75,113,150,90,4,3,1,5,1,4,2,1,1,5,4,1,30,15,15,20,9,11,51,51,50,100,58,42,58,31,27,42,27,15,138,75,63,6,5,1,5,2,3,1,3,-2,2,2,0,6,3,3,2,0,2,1.2,1.8,0.6,2.4,2.6,2.2,1.6,2,1.2,0.8,0.6,1,1.1,1.4,0.8,0.6,1,0.2,0.5,0.4,0.6,9,7,3,3,2,0,5,3,2,2,1,0,4,4,1,1,1,0,1,3,7,7,8,10,0,2,3,3,4,5,1,1,4,4,4,5,90,70,30,30,20,0,100,60,40,40,20,0,80,80,20,20,20,0,10,30,70,70,80,100,0,40,60,60,80,100,20,20,80,80,80,100,6,3,1,3,2,1,3,1,0,60,30,10,60,40,20,60,20,0,50,80,20,25,40,60,20,50,20,80,20,20,20,50,80,20,6,4,2,60,80,40,6,2,4,60,40,80,2,1,1,20,20,20,20,40,0,60,60,60,20,0,40,3.00,3.00,3.00,2,1.8,2.20,70,70,60,40,30,20,10,10,0.00,0.00,0.00,0.00,0.00,0.00,60,1,1,2,1,2,1,4,3,1,1,1,0,3,0,0,1,2,0,40,0,80,10,20,0,0
CR Flamengo,Flamengo,2017,Brazil,6,3,3,0,3,3,0,0,0,0,3,0,3,1.5,3,0,3,1,1,19,11,7,4,18,11,7,9,2,2,5,7,-3,49,30,134,77,134,54,1,1,0,4,2,2,1,0,1,4,3,1,28,13,15,16,6,10,49,50,48,86,48,38,43,24,19,43,24,19,83,36,47,3,2,1,1,0,1,2,2,0,2,1,1,3,2,1,1,0,1,1.5,1.67,1.33,3,3.67,2.33,1.83,3,0.67,1.17,0.67,1.67,0.67,0.67,0.67,0.5,0.67,0.33,0.17,0,0.33,6,5,5,2,0,0,3,3,3,2,0,0,3,2,2,0,0,0,0,1,1,4,6,6,0,0,0,1,3,3,0,1,1,3,3,3,100,83,83,33,0,0,100,100,100,67,0,0,100,67,67,0,0,0,0,17,17,67,100,100,0,0,0,33,100,100,0,33,33,100,100,100,3,1,0,1,1,0,2,0,0,50,17,0,33,33,0,67,0,0,50,100,0,54,17,33,0,67,67,67,17,0,33,67,100,33,5,3,2,83,100,67,4,2,2,67,67,67,0,0,0,0,0,0,33,33,33,50,67,33,17,0,33,4.67,4.33,5.00,2.67,2,3.33,67,67,67,50,17,17,17,0,0.00,0.00,0.00,0.00,0.00,0.00,67,1,2,0,0,1,1,2,1,3,0,0,0,1,0,1,1,2,2,0,0,0,50,0,100,0
Botafogo FR,Botafogo,2017,Brazil,14,7,7,0,7,5,2,3,1,2,4,1,3,1.71,2.29,1.14,1,2,2,2,13,9,4,22,12,10,8,5,4,5,4,0,97,79,127,141,158,127,6,4,2,4,2,2,5,2,3,7,5,2,54,30,24,40,18,22,48,49,48,137,75,62,63,32,31,74,43,31,237,118,119,8,6,2,5,2,3,3,4,-1,6,4,2,4,2,2,4,1,3,1.57,2,1.14,1.57,1.71,1.43,0.93,1.14,0.71,0.64,0.57,0.71,0.93,1.14,0.71,0.57,0.86,0.29,0.36,0.29,0.43,13,7,2,0,0,0,6,4,2,0,0,0,7,3,0,0,0,0,1,7,12,14,14,14,1,3,5,7,7,7,0,4,7,7,7,7,93,50,14,0,0,0,86,57,29,0,0,0,100,43,0,0,0,0,7,50,86,100,100,100,14,43,71,100,100,100,0,57,100,100,100,100,10,3,0,5,3,0,5,0,0,71,21,0,71,43,0,71,0,0,50,71,29,17,43,57,29,29,29,29,36,29,43,50,71,29,10,6,4,71,86,57,8,3,5,57,43,71,0,0,0,0,0,0,43,57,29,29,29,29,29,14,43,3.86,4.29,3.43,2.86,2.57,3.14,64,64,50,50,28,28,21,7,0.00,0.00,0.00,0.00,0.00,0.00,21,2,0,1,4,1,1,0,1,3,2,0,2,1,0,1,2,1,0,21,14,29,29,14,43,0
Grêmio FB Porto Alegrense,Grêmio,2017,Brazil,14,7,7,0,10,6,4,2,0,2,2,1,1,2.29,2.57,2,1,3,3,1,25,9,16,34,20,14,15,10,5,4,10,6,50,42,63,141,127,158,7,3,4,6,3,3,2,1,1,10,5,5,65,42,23,38,18,20,49,51,48,173,98,75,74,44,30,99,54,45,167,89,78,17,10,7,4,3,1,13,7,6,7,3,4,6,3,3,1,1,0,1.93,1.71,2.14,2.43,2.86,2,1.79,2.14,1.43,0.64,0.71,0.57,1.5,1.86,1.14,1.21,1.43,1,0.29,0.43,0.14,13,9,7,3,2,0,7,4,4,3,2,0,6,5,3,0,0,0,1,5,7,11,12,14,0,3,3,4,5,7,1,2,4,7,7,7,93,64,50,21,14,0,100,57,57,43,29,0,86,71,43,0,0,0,7,36,50,79,86,100,0,43,43,57,71,100,14,29,57,100,100,100,10,7,3,5,4,3,5,3,0,71,50,21,71,57,43,71,43,0,71,86,57,5,50,43,57,43,43,43,14,14,14,71,71,71,10,4,6,71,57,86,5,3,2,36,43,29,3,2,1,21,29,14,50,43,57,43,43,43,7,14,0,4.64,6.00,3.29,2.71,2.57,2.86,71,64,50,50,36,21,14,7,1.39,1.46,1.31,0.90,0.54,1.26,71,3,2,9,0,3,3,2,2,1,0,1,1,2,1,0,2,2,0,14,0,29,14,14,14,0
SE Palmeiras,Palmeiras,2017,Brazil,8,4,4,0,5,4,1,1,0,1,2,0,2,2,3,1,1,4,4,9,14,10,4,24,11,13,8,6,3,7,5,-1,51,45,60,72,120,51,2,2,0,5,2,3,1,0,1,3,3,0,27,15,12,19,8,11,51,52,50,97,64,33,43,27,16,54,37,17,114,47,67,3,1,2,6,1,5,-3,0,-3,1,1,0,4,2,2,3,1,2,0.88,1.25,0.5,3,2.75,3.25,1.75,2,1.5,1.25,0.75,1.75,1.13,0.5,1.75,0.38,0.25,0.5,0.75,0.25,1.25,8,5,4,4,3,0,4,2,2,2,1,0,4,3,2,2,2,0,0,3,4,4,5,8,0,2,2,2,3,4,0,1,2,2,2,4,100,63,50,50,38,0,100,50,50,50,25,0,100,75,50,50,50,0,0,37,50,50,62,100,0,50,50,50,75,100,0,25,50,50,50,100,5,3,1,2,0,0,3,3,1,63,38,13,50,0,0,75,75,25,63,100,25,27,25,50,0,63,50,75,13,0,25,38,75,0,4,3,1,50,75,25,5,3,2,63,75,50,2,0,2,25,0,50,13,25,0,50,50,50,38,25,50,3.38,3.75,3.00,2.38,2,2.75,75,50,50,38,38,13,13,0,0.00,0.00,0.00,0.00,0.00,0.00,63,0,1,0,1,3,2,2,2,3,0,1,1,3,1,1,1,1,1,13,0,25,25,0,50,0
CA Mineiro,Atlético Mineiro,2017,Brazil,8,4,4,0,4,3,1,2,1,1,2,0,2,1.75,2.5,1,1,5,5,12,17,7,10,24,14,10,11,6,3,4,8,2,42,33,60,102,120,90,2,2,0,4,2,2,3,1,2,4,3,1,34,18,16,13,5,8,50,50,50,109,64,45,39,24,15,70,40,30,111,44,67,6,4,2,5,1,4,1,3,-2,2,1,1,3,3,0,3,0,3,1.13,1.5,0.75,3,3.5,2.5,2.13,2.75,1.5,0.88,0.75,1,1.38,1.25,1.5,0.75,1,0.5,0.63,0.25,1,7,5,3,3,3,2,3,3,2,2,2,1,4,2,1,1,1,1,1,3,5,5,5,6,1,1,2,2,2,3,0,2,3,3,3,3,88,63,38,38,38,25,75,75,50,50,50,25,100,50,25,25,25,25,12,37,62,62,62,75,25,25,50,50,50,75,0,50,75,75,75,75,6,3,2,2,2,1,4,1,1,75,38,25,50,50,25,100,25,25,50,75,25,22,25,50,0,50,50,50,38,25,50,50,75,25,3,3,0,38,75,0,5,2,3,63,50,75,2,1,1,25,25,25,25,25,25,38,75,0,38,0,75,4.25,4.50,4.00,1.63,1.25,2.00,100,63,50,50,50,25,25,13,0.00,0.00,0.00,0.00,0.00,0.00,63,2,2,1,0,2,1,2,3,4,1,1,1,0,2,1,0,1,0,25,25,25,25,0,50,13
CA Paranaense,Atlético PR,2017,Brazil,12,6,6,0,5,2,3,2,2,0,5,2,3,1.42,1.33,1.5,2,6,6,8,16,18,-2,34,22,12,10,6,12,6,-2,0,68,54,90,60,45,90,3,1,2,6,4,2,3,1,2,7,5,2,50,21,29,32,14,18,50,50,51,131,73,58,50,22,28,81,51,30,156,75,81,6,4,2,6,3,3,0,1,-1,4,2,2,5,3,2,3,1,2,1.42,1.5,1.33,2.83,3.67,2,1.33,1.67,1,1.5,2,1,1,1.17,0.83,0.5,0.67,0.33,0.5,0.5,0.5,12,7,7,4,3,1,6,5,5,3,2,1,6,2,2,1,1,0,0,5,5,8,9,11,0,1,1,3,4,5,0,4,4,5,5,6,100,58,58,33,25,8,100,83,83,50,33,17,100,33,33,17,17,0,0,42,42,67,75,92,0,17,17,50,67,83,0,67,67,83,83,100,9,3,0,5,2,0,4,1,0,75,25,0,83,33,0,67,17,0,42,33,50,-4,25,17,33,50,67,33,25,17,33,58,83,33,7,3,4,58,50,67,6,2,4,50,33,67,2,2,0,17,33,0,33,33,33,42,50,33,25,17,33,4.17,3.50,4.83,2.67,2.33,3.00,92,92,83,67,50,42,33,25,0.00,0.00,0.00,0.00,0.00,0.00,83,3,2,0,1,0,3,0,3,4,1,2,1,1,1,3,2,1,6,17,33,0,42,33,50,17
Chapecoense AF,Chapecoense,2017,Brazil,6,3,3,0,3,1,2,1,1,0,2,1,1,1.67,1.33,2,2,7,7,18,8,10,-2,18,9,9,4,4,5,5,-1,-1,68,68,68,54,54,54,0,0,0,5,3,2,1,0,1,4,2,2,31,27,4,20,7,13,50,50,50,79,47,32,33,18,15,46,29,17,88,39,49,3,1,2,3,2,1,0,-1,1,2,0,2,2,2,0,2,1,1,1.33,0.67,2,3,3,3,1.33,1.33,1.33,1.67,1.67,1.67,1,1,1,0.5,0.33,0.67,0.5,0.67,0.33,6,6,5,1,0,0,3,3,2,1,0,0,3,3,3,0,0,0,0,0,1,5,6,6,0,0,1,2,3,3,0,0,0,3,3,3,100,100,83,17,0,0,100,100,67,33,0,0,100,100,100,0,0,0,0,0,17,83,100,100,0,0,33,67,100,100,0,0,0,100,100,100,5,1,0,2,1,0,3,0,0,83,17,0,67,33,0,100,0,0,50,33,67,0,0,0,0,83,100,67,17,0,33,67,67,67,3,1,2,50,33,67,3,2,1,50,67,33,1,1,0,17,33,0,33,0,67,33,67,0,33,33,33,5.17,9.00,1.33,3.33,2.33,4.33,83,83,83,67,67,17,17,17,0.00,0.00,0.00,0.00,0.00,0.00,50,1,0,1,1,1,0,1,0,3,0,1,1,0,2,1,1,2,2,17,33,0,33,33,33,17
CA Lanús,Lanús,2017,Argentina,14,7,7,0,6,4,2,2,0,2,6,3,3,1.43,1.71,1.14,1,8,8,5,20,14,6,34,21,13,14,6,7,7,7,-1,63,45,105,90,90,90,4,3,1,6,3,3,4,1,3,5,3,2,56,38,18,34,18,16,51,54,47,133,90,43,59,38,21,74,52,22,196,104,92,6,4,2,8,6,2,-2,-2,0,4,2,2,4,1,3,6,4,2,1.14,1,1.29,2.43,3,1.86,1.43,2,0.86,1,1,1,1,1.43,0.57,0.43,0.57,0.29,0.57,0.86,0.29,14,9,5,3,2,1,7,5,4,2,2,1,7,4,1,1,0,0,0,5,9,11,12,13,0,2,3,5,5,6,0,3,6,6,7,7,100,64,36,21,14,7,100,71,57,29,29,14,100,57,14,14,0,0,0,36,64,79,86,93,0,29,43,71,71,86,0,43,86,86,100,100,10,3,1,6,3,1,4,0,0,71,21,7,86,43,14,57,0,0,43,57,29,0,29,43,14,43,43,43,29,14,43,36,43,29,8,3,5,57,43,71,9,4,5,64,57,71,1,1,0,7,14,0,29,29,29,29,14,43,43,57,29,4.00,5.43,2.57,2.43,2.57,2.29,79,79,64,28,21,7,7,7,1.01,1.24,0.54,1.28,1.19,1.46,64,1,2,1,1,3,1,4,4,3,0,1,4,2,2,1,0,0,4,14,0,29,43,43,43,7
Estudiantes de La Plata,Estudiantes,2017,Argentina,6,3,3,0,3,2,1,0,0,0,3,1,2,1.5,2,1,3,9,9,22,7,8,-1,15,4,11,2,5,2,6,0,-1,77,134,54,68,134,45,3,2,1,2,0,2,1,1,0,3,2,1,20,14,6,15,6,9,51,52,50,66,40,26,31,18,13,35,22,13,96,53,43,3,2,1,3,0,3,0,2,-2,3,2,1,1,1,0,2,0,2,1.67,2.33,1,2.5,1.33,3.67,1.17,0.67,1.67,1.33,0.67,2,1,0.67,1.33,0.5,0.67,0.33,0.5,0,1,6,4,3,1,1,0,3,1,0,0,0,0,3,3,3,1,1,0,0,2,3,5,5,6,0,2,3,3,3,3,0,0,0,2,2,3,100,67,50,17,17,0,100,33,0,0,0,0,100,100,100,33,33,0,0,33,50,83,83,100,0,67,100,100,100,100,0,0,0,67,67,100,5,1,0,2,0,0,3,1,0,83,17,0,67,0,0,100,33,0,50,67,33,4,50,67,33,33,0,67,17,33,0,50,67,33,4,3,1,67,100,33,3,1,2,50,33,67,0,0,0,0,0,0,50,67,33,17,33,0,33,0,67,3.33,4.67,2.00,2.5,2,3.00,67,50,50,50,17,17,0,0,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,2,1,0,1,2,1,0,0,0,0,2,2,1,1,1,1,0,0,0,50,33,67,0
