timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1488320100,Feb 28 2017 - 10:15pm,complete,N/A,O'Higgins,Fuerza Amarilla SC,N/A,N/A,0.00,0.00,1.50,1.00,1,0,1,0,0,0,"81","",6,6,2,0,2,0,1,1,0,2,19,8,3,0,16,8,20,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio El Teniente
1488320100,Feb 28 2017 - 10:15pm,complete,N/A,Boston River,Comerciantes Unidos,N/A,N/A,0.00,0.00,1.00,0.50,3,1,4,4,3,1,"9,43,44","2",13,1,2,0,3,0,0,2,1,2,19,10,9,4,10,6,13,17,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Gran Parque Central
1488329100,Mar 01 2017 - 12:45am,complete,N/A,Deportivo Cali,Sportivo Luqueño,N/A,N/A,0.00,0.00,1.25,1.50,1,0,1,0,0,0,"69","",8,7,3,0,4,1,1,2,1,4,14,9,7,5,7,4,23,17,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Deportivo Cali
1488329100,Mar 01 2017 - 12:45am,complete,N/A,LDU Quito,Defensor Sporting,N/A,N/A,0.00,0.00,1.67,0.50,2,2,4,2,1,1,"10,88","4,50",2,7,3,1,4,1,0,4,1,4,9,6,6,4,3,2,20,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio de Liga Deportiva Universitaria
1488406500,Mar 01 2017 - 10:15pm,complete,N/A,Nacional Potosí,Sport Huancayo,N/A,N/A,0.00,0.00,0.75,1.50,3,1,4,2,1,1,"45'2,76,83","10",9,1,1,0,2,0,1,0,2,0,18,6,7,5,11,1,18,11,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Victor Agustín Ugarte
1488406500,Mar 01 2017 - 10:15pm,complete,N/A,Deportivo Anzoátegui,Huracán,N/A,N/A,0.00,0.00,1.50,0.75,3,0,3,3,3,0,"8,13,22","",3,11,2,0,3,2,0,2,1,4,12,14,5,6,7,8,25,11,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico General José Antonio Anzoátegui
1488415500,Mar 02 2017 - 12:45am,complete,N/A,Palestino,Atlético Venezuela,N/A,N/A,0.00,0.00,0.75,1.50,0,1,1,0,0,0,"","64",5,5,3,0,3,0,2,1,1,2,11,11,7,6,4,5,15,12,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nacional Julio Martínez Prádanos
1488415500,Mar 02 2017 - 12:45am,complete,N/A,Racing Club,Rionegro Águilas,N/A,N/A,0.00,0.00,1.63,0.50,1,0,1,0,0,0,"60","",6,1,3,0,3,0,2,1,2,1,15,3,6,0,9,3,15,12,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Presidente Juan Domingo Perón
1488488400,Mar 02 2017 - 9:00pm,complete,N/A,Juan Aurich,Arsenal de Sarandí,N/A,N/A,0.00,0.00,0.00,2.25,0,2,2,2,0,2,"","7,22",8,5,1,0,0,0,0,1,0,0,14,11,5,6,9,5,19,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Mansiche
1488492900,Mar 02 2017 - 10:15pm,complete,N/A,Cerro Porteño,Caracas,N/A,N/A,0.00,0.00,1.83,0.50,1,1,2,1,1,0,"23","67",8,0,3,0,4,0,1,2,2,2,14,6,7,2,7,4,16,24,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Defensores del Chaco (Asunción)
