team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Asociación Deportivo Cali,Deportivo Cali,2021,Colombia,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,16,16,46,0,3,-3,3,0,3,0,0,0,3,0,-3,0,0,0,60,0,30,1,1,0,0,0,0,2,1,1,0,0,0,15,9,6,9,2,7,66,65,66,32,21,11,10,6,4,22,15,7,31,10,21,0,0,0,2,0,2,-2,0,-2,0,0,0,1,1,0,1,0,1,0.5,1,0,1.5,0,3,0,0,0,1.5,0,3,1,0,2,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,50,50,50,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,0,0,0,100,100,100,1,1,0,0,0,0,1,1,0,50,50,0,0,0,0,100,100,0,0,0,0,50,50,100,0,0,0,0,100,100,100,0,0,0,1,1,0,50,100,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,7.50,9.00,6.00,4.5,2,7.00,100,50,50,50,50,50,0,0,1.90,2.36,1.45,1.06,1.05,1.06,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,50,100,0,50,0,100,0
Club Deportes Tolima SA,Deportes Tolima,2021,Colombia,8,4,4,0,1,1,0,4,2,2,3,1,2,0.88,1.25,0.5,4,17,17,28,7,8,-1,15,10,5,6,1,4,4,2,-3,102,60,360,90,90,90,3,1,2,4,3,1,3,0,3,3,3,0,33,13,20,31,18,13,42,45,40,74,37,37,40,23,17,34,14,20,156,85,71,4,4,0,5,3,2,-1,1,-2,1,1,0,5,2,3,2,1,1,1,1.25,0.75,1.88,2.5,1.25,0.88,1.5,0.25,1,1,1,1.13,1.75,0.5,0.5,1,0,0.63,0.75,0.5,6,6,3,0,0,0,4,4,2,0,0,0,2,2,1,0,0,0,2,2,5,8,8,8,0,0,2,4,4,4,2,2,3,4,4,4,75,75,38,0,0,0,100,100,50,0,0,0,50,50,25,0,0,0,25,25,62,100,100,100,0,0,50,100,100,100,50,50,75,100,100,100,5,4,0,4,3,0,1,1,0,63,50,0,100,75,0,25,25,0,13,25,0,0,38,25,50,50,75,25,38,0,75,38,75,0,4,1,3,50,25,75,5,1,4,63,25,100,2,2,0,25,50,0,13,25,0,63,50,75,25,25,25,4.13,3.25,5.00,3.88,4.5,3.25,88,63,63,63,50,50,25,0,1.31,1.37,1.25,1.68,1.66,1.70,50,1,1,1,1,0,1,1,0,1,1,0,0,0,4,0,1,2,0,50,50,50,38,25,50,0
AD Pasto,Deportivo Pasto,2021,Colombia,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,19,19,39,2,3,-1,5,2,3,0,2,2,1,-2,1,90,0,45,60,45,90,0,0,0,1,0,1,1,1,0,0,0,0,10,7,3,6,2,4,48,53,43,13,8,5,4,2,2,9,6,3,21,9,12,1,0,1,3,2,1,-2,-2,0,0,0,0,1,0,1,1,1,0,0.5,0,1,2.5,2,3,1,0,2,1.5,2,1,2,2,2,0.5,0,1,1.5,2,1,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,0,0,1,1,1,1,0,0,0,1,1,1,100,100,50,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,0,50,100,100,100,0,0,100,100,100,100,0,0,0,100,100,100,2,2,0,1,1,0,1,1,0,100,100,0,100,100,0,100,100,0,50,0,100,-67,0,0,0,50,0,100,50,100,0,0,0,0,0,0,0,0,0,0,1,1,0,50,100,0,1,0,1,50,0,100,0,0,0,50,0,100,50,100,0,5.00,7.00,3.00,3,2,4.00,50,50,50,50,0,0,0,0,0.97,1.12,0.82,1.56,1.60,1.53,50,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,50,100,0,0
CD La Equidad Seguros SA,La Equidad,2021,Colombia,8,4,4,0,3,1,2,1,1,0,4,2,2,1.25,1,1.5,3,20,20,20,9,11,-2,20,7,13,3,6,4,7,-1,-1,80,120,60,65,90,51,2,1,1,5,2,3,2,2,0,4,2,2,24,11,13,33,18,15,48,51,45,76,37,39,35,15,20,41,22,19,143,85,58,5,2,3,5,2,3,0,0,0,2,1,1,3,2,1,3,1,2,1.13,1.25,1,2.5,1.75,3.25,1.13,0.75,1.5,1.38,1,1.75,1.25,1,1.5,0.63,0.5,0.75,0.63,0.5,0.75,7,6,5,1,1,0,3,2,2,0,0,0,4,4,3,1,1,0,1,2,3,7,7,8,1,2,2,4,4,4,0,0,1,3,3,4,88,75,63,13,13,0,75,50,50,0,0,0,100,100,75,25,25,0,12,25,37,87,87,100,25,50,50,100,100,100,0,0,25,75,75,100,7,3,0,3,1,0,4,2,0,88,38,0,75,25,0,100,50,0,38,25,50,-3,25,25,25,63,50,75,25,50,0,50,50,50,3,2,1,38,50,25,4,2,2,50,50,50,2,1,1,25,25,25,25,25,25,38,50,25,38,25,50,3.00,2.75,3.25,4.13,4.5,3.75,63,38,38,38,13,13,13,13,1.34,1.34,1.33,1.25,1.18,1.32,50,0,3,1,1,0,1,0,1,2,0,0,1,2,2,1,2,3,0,13,25,0,50,50,50,0
CD Antofagasta,Antofagasta,2021,Chile,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,21,21,52,0,4,-4,4,1,3,0,0,1,3,-1,-3,0,0,0,45,90,30,0,0,0,0,0,0,2,1,1,0,0,0,8,3,5,6,0,6,48,50,46,12,3,9,8,2,6,4,1,3,26,13,13,0,0,0,1,0,1,-1,0,-1,0,0,0,1,1,0,1,0,1,0.5,1,0,2,1,3,0,0,0,2,1,3,0.5,0,1,0,0,0,0.5,0,1,2,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,2,2,0,1,1,1,1,1,0,0,0,1,1,1,100,50,50,0,0,0,100,0,0,0,0,0,100,100,100,0,0,0,0,50,50,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,100,0,0,0,0,0,25,0,0,0,0,0,0,100,100,100,0,0,0,1,1,0,50,100,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,4.00,3.00,5.00,3,0,6.00,100,100,100,100,50,0,0,0,1.03,0.58,1.47,1.22,0.85,1.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,100,100,100,0
CD Palestino,Palestino,2021,Chile,8,4,4,0,1,1,0,2,0,2,5,3,2,0.63,0.75,0.5,4,22,22,33,4,10,-6,14,8,6,3,1,5,5,-2,-4,180,120,360,72,72,72,2,0,2,3,2,1,5,2,3,2,2,0,41,25,16,29,11,18,54,56,52,63,32,31,26,15,11,37,17,20,111,49,62,2,2,0,3,2,1,-1,0,-1,1,1,0,5,2,3,2,1,1,1,1.25,0.75,1.75,2,1.5,0.5,0.75,0.25,1.25,1.25,1.25,0.63,1,0.25,0.25,0.5,0,0.38,0.5,0.25,6,4,3,1,0,0,4,2,2,0,0,0,2,2,1,1,0,0,2,4,5,7,8,8,0,2,2,4,4,4,2,2,3,3,4,4,75,50,38,13,0,0,100,50,50,0,0,0,50,50,25,25,0,0,25,50,62,87,100,100,0,50,50,100,100,100,50,50,75,75,100,100,4,1,0,3,1,0,1,0,0,50,13,0,75,25,0,25,0,0,13,25,0,0,25,0,50,38,50,25,63,50,75,25,50,0,5,2,3,63,50,75,6,2,4,75,50,100,1,1,0,13,25,0,13,25,0,63,50,75,25,25,25,5.13,6.25,4.00,3.63,2.75,4.50,88,88,75,63,63,50,25,25,1.20,1.30,1.11,1.98,2.02,1.94,50,1,0,0,0,2,1,0,0,0,1,1,0,1,0,1,0,4,2,25,0,50,63,75,50,25
CD Huachipato,Huachipato,2021,Chile,8,4,4,0,4,1,3,2,2,0,2,1,1,1.75,1.25,2.25,2,23,23,12,8,10,-2,18,8,10,4,4,4,6,0,-2,90,90,90,72,90,60,4,2,2,2,1,1,3,2,1,5,2,3,35,20,15,23,11,12,58,66,49,86,50,36,36,18,18,50,32,18,135,67,68,4,2,2,6,2,4,-2,0,-2,4,2,2,2,1,1,2,1,1,1.75,1.75,1.75,2.25,2,2.5,1,1,1,1.25,1,1.5,1.25,1,1.5,0.5,0.5,0.5,0.75,0.5,1,7,5,4,1,1,0,3,3,2,0,0,0,4,2,2,1,1,0,1,3,4,7,7,8,1,1,2,4,4,4,0,2,2,3,3,4,88,63,50,13,13,0,75,75,50,0,0,0,100,50,50,25,25,0,12,37,50,87,87,100,25,25,50,100,100,100,0,50,50,75,75,100,6,2,1,3,1,0,3,1,1,75,25,13,75,25,0,75,25,25,50,25,75,10,50,50,50,25,25,25,38,50,25,63,50,75,6,3,3,75,75,75,4,2,2,50,50,50,0,0,0,0,0,0,50,50,50,25,25,25,25,25,25,4.38,5.00,3.75,2.88,2.75,3.00,63,63,50,38,25,0,0,0,1.46,1.67,1.25,1.39,1.14,1.65,50,2,0,1,1,0,1,1,0,2,1,0,1,2,2,2,1,1,0,25,50,0,25,25,25,0
CD Cobresal,Cobresal,2021,Chile,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,24,24,41,1,2,-1,3,0,3,0,1,0,2,0,-1,180,0,90,90,0,45,1,1,0,1,0,1,1,1,0,0,0,0,7,4,3,6,4,2,44,38,49,23,7,16,9,5,4,14,2,12,28,19,9,1,0,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1.5,0,3,0.5,0,1,1,0,2,1,0,2,0.5,0,1,0.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,50,50,50,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,0,0,0,100,100,100,1,1,0,0,0,0,1,1,0,50,50,0,0,0,0,100,100,0,0,0,0,0,50,100,0,50,0,100,50,100,0,0,0,0,1,1,0,50,100,0,1,1,0,50,100,0,1,0,1,50,0,100,0,0,0,100,100,100,0,0,0,3.50,4.00,3.00,3,4,2.00,50,50,50,50,50,50,0,0,1.43,1.09,1.77,1.52,1.47,1.57,50,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,50,100,0,50,0,100,0
CA Nacional Potosí,Nacional Potosí,2021,Bolivia,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,25,25,55,2,6,-4,8,3,5,1,1,2,4,-1,-3,90,90,90,30,45,23,0,0,0,2,1,1,0,0,0,1,0,1,5,3,2,6,2,4,53,60,46,24,16,8,12,8,4,12,8,4,29,13,16,1,0,1,2,1,1,-1,-1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,4,3,5,1,1,1,3,2,4,1.5,1,2,0.5,0,1,1,1,1,2,2,2,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,2,0,0,0,1,1,1,0,0,0,0,0,1,100,100,100,50,50,0,100,100,100,0,0,0,100,100,100,100,100,0,0,0,0,50,50,100,0,0,0,100,100,100,0,0,0,0,0,100,2,1,0,1,0,0,1,1,0,100,50,0,100,0,0,100,100,0,0,0,0,17,0,0,0,100,100,100,0,0,0,50,0,100,0,0,0,0,0,0,1,1,0,50,100,0,1,0,1,50,0,100,0,0,0,50,0,100,50,100,0,2.50,3.00,2.00,3,2,4.00,0,0,0,0,0,0,0,0,1.60,2.04,1.16,1.73,1.16,2.30,100,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2,0,0,0,100,100,100,0
CD Guabirá,Guabirá,2021,Bolivia,8,4,4,0,2,1,1,0,0,0,6,3,3,0.75,0.75,0.75,4,26,26,32,7,20,-13,27,14,13,5,2,9,11,-4,-9,102,72,180,36,40,33,0,0,0,3,2,1,5,2,3,1,0,1,18,12,6,22,13,9,46,53,39,62,38,24,25,18,7,37,20,17,102,51,51,2,1,1,8,5,3,-6,-4,-2,1,0,1,3,2,1,4,2,2,0.75,0.5,1,3.38,3.5,3.25,0.88,1.25,0.5,2.5,2.25,2.75,1.25,1.5,1,0.25,0.25,0.25,1,1.25,0.75,8,6,6,5,2,0,4,3,3,3,1,0,4,3,3,2,1,0,0,2,2,3,6,8,0,1,1,1,3,4,0,1,1,2,3,4,100,75,75,63,25,0,100,75,75,75,25,0,100,75,75,50,25,0,0,25,25,37,75,100,0,25,25,25,75,100,0,25,25,50,75,100,6,4,0,3,3,0,3,1,0,75,50,0,75,75,0,75,25,0,25,25,25,26,0,0,0,38,50,25,63,50,75,13,0,25,3,1,2,38,25,50,6,3,3,75,75,75,1,1,0,13,25,0,13,0,25,38,50,25,50,50,50,2.25,3.00,1.50,2.75,3.25,2.25,38,25,13,0,0,0,0,0,1.05,1.37,0.72,1.69,1.38,2.01,75,0,1,0,1,0,0,0,2,3,3,0,2,3,1,3,2,3,3,0,0,0,75,75,75,0
