team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Fenerbahçe,Fenerbahçe,2025/2026,Turkey,5,3,2,0,3,2,1,2,1,1,0,0,0,2.2,2.33,2,2,1,5,2,9,4,5,13,9,4,6,3,3,1,3,2,50,45,60,113,90,180,2,1,1,3,2,1,1,0,1,3,2,1,32,23,9,11,6,5,63,64,61,94,69,25,27,23,4,67,46,21,62,34,28,5,2,3,2,2,0,3,0,3,2,1,1,2,1,1,1,1,0,1.6,1.33,2,2.6,3,2,1.8,2,1.5,0.8,1,0.5,1.4,1.33,1.5,1,0.67,1.5,0.4,0.67,0,4,3,3,3,0,0,3,2,2,2,0,0,1,1,1,1,0,0,1,2,2,2,5,5,0,1,1,1,3,3,1,1,1,1,2,2,80,60,60,60,0,0,100,67,67,67,0,0,50,50,50,50,0,0,20,40,40,40,100,100,0,33,33,33,100,100,50,50,50,50,100,100,4,2,1,3,1,0,1,1,1,80,40,20,100,33,0,50,50,50,60,67,50,-7,40,33,50,60,67,50,20,0,50,60,67,50,3,1,2,60,33,100,2,1,1,40,33,50,1,1,0,20,33,0,40,33,50,40,33,50,20,33,0,6.40,7.67,4.50,2.2,2,2.50,60,60,40,0,0,0,0,0,1.99,2.48,1.24,0.74,0.53,1.06,100,1,1,0,2,1,1,1,2,0,0,1,1,0,0,0,1,0,1,40,33,50,0,0,0,0
Beşiktaş,Beşiktaş,2025/2026,Turkey,3,2,1,2,2,2,0,0,0,0,1,0,1,2,3,0,10,4,16,10,4,4,0,8,6,2,4,0,2,2,2,-2,68,45,0,68,90,45,0,0,0,2,2,0,1,0,1,1,1,0,26,20,6,10,7,3,57,54,63,54,39,15,19,15,4,35,24,11,44,26,18,1,1,0,2,1,1,-1,0,-1,0,0,0,2,2,0,1,0,1,0.67,1,0,2.67,3,2,1.33,2,0,1.33,1,2,1,1,1,0.33,0.5,0,0.67,0.5,1,3,3,2,0,0,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,1,3,3,3,0,0,0,2,2,2,0,0,1,1,1,1,100,100,67,0,0,0,100,100,100,0,0,0,100,100,0,0,0,0,0,0,33,100,100,100,0,0,0,100,100,100,0,0,100,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,50,50,0,100,0,0,67,100,0,38,0,0,0,67,100,0,33,0,100,33,50,0,1,1,0,33,50,0,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,67,100,0,33,0,100,8.67,10.00,6.00,3.33,3.5,3.00,100,100,67,67,67,67,67,33,1.96,2.16,1.55,1.16,1.25,0.99,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,2,0,0,0,0,33,0,100,33
Trabzonspor,Trabzonspor,2025/2026,Turkey,5,3,2,0,3,2,1,1,1,0,1,0,1,2,2.33,1.5,3,2,10,3,4,2,2,6,4,2,3,1,1,1,2,0,113,90,180,225,273,180,3,2,1,1,1,0,1,0,1,4,3,1,14,10,4,11,4,7,49,54,42,49,37,12,12,10,2,37,27,10,59,28,31,2,2,0,1,0,1,1,2,-1,2,2,0,2,1,1,1,0,1,1.6,2.33,0.5,1.2,1.33,1,0.8,1,0.5,0.4,0.33,0.5,0.6,0.67,0.5,0.4,0.67,0,0.2,0,0.5,5,1,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,4,5,5,5,5,0,2,3,3,3,3,0,2,2,2,2,2,100,20,0,0,0,0,100,33,0,0,0,0,100,0,0,0,0,0,0,80,100,100,100,100,0,67,100,100,100,100,0,100,100,100,100,100,3,0,0,2,0,0,1,0,0,60,0,0,67,0,0,50,0,0,60,67,50,22,60,67,50,20,33,0,20,0,50,80,100,50,4,3,1,80,100,50,3,1,2,60,33,100,0,0,0,0,0,0,40,67,0,40,33,50,20,0,50,2.80,3.33,2.00,2.2,1.33,3.50,100,100,80,60,20,20,0,0,1.04,1.30,0.64,1.54,1.20,2.05,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,20,33,0,20,0,50,0
Galatasaray,Galatasaray,2025/2026,Turkey,5,2,3,0,5,2,3,0,0,0,0,0,0,3,3,3,1,3,1,1,15,1,14,16,7,9,6,9,1,0,5,9,30,30,30,450,180,0,4,1,3,1,1,0,0,0,0,5,2,3,28,15,13,8,1,7,66,69,64,99,44,55,38,15,23,61,29,32,57,22,35,6,2,4,0,0,0,6,2,4,4,2,2,1,0,1,0,0,0,2.6,3,2.33,3.2,3.5,3,3,3,3,0.2,0.5,0,1.2,1,1.33,1.2,1,1.33,0,0,0,5,5,4,2,0,0,2,2,2,1,0,0,3,3,2,1,0,0,0,0,1,3,5,5,0,0,0,1,2,2,0,0,1,2,3,3,100,100,80,40,0,0,100,100,100,50,0,0,100,100,67,33,0,0,0,0,20,60,100,100,0,0,0,50,100,100,0,0,33,67,100,100,4,1,1,2,0,0,2,1,1,80,20,20,100,0,0,67,33,33,100,100,100,-75,80,50,100,20,50,0,0,0,0,100,100,100,5,2,3,100,100,100,1,0,1,20,0,33,0,0,0,0,0,0,80,100,67,20,0,33,0,0,0,5.60,7.50,4.33,1.6,0.5,2.33,80,60,60,40,40,40,20,0,2.19,2.37,2.08,0.80,0.80,0.80,60,1,3,0,1,2,0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alanyaspor,Alanyaspor,2025/2026,Turkey,5,2,3,0,2,1,1,2,1,1,1,0,1,1.6,2,1.33,7,6,8,7,7,5,2,12,2,10,2,5,0,5,2,0,64,90,54,90,0,54,2,2,0,3,0,3,1,1,0,4,1,3,11,5,6,10,2,8,42,40,43,42,18,24,12,4,8,30,14,16,70,30,40,3,1,2,1,0,1,2,1,1,3,1,2,1,1,0,1,0,1,2,2,2,2.4,1,3.33,1.4,1,1.67,1,0,1.67,0.8,0.5,1,0.6,0.5,0.67,0.2,0,0.33,4,4,3,1,0,0,1,1,0,0,0,0,3,3,3,1,0,0,1,1,2,4,5,5,1,1,2,2,2,2,0,0,0,2,3,3,80,80,60,20,0,0,50,50,0,0,0,0,100,100,100,33,0,0,20,20,40,80,100,100,50,50,100,100,100,100,0,0,0,67,100,100,4,0,0,1,0,0,3,0,0,80,0,0,50,0,0,100,0,0,40,50,33,36,40,100,0,60,0,100,20,50,0,80,50,100,4,2,2,80,100,67,2,1,1,40,50,33,0,0,0,0,0,0,60,50,67,20,50,0,20,0,33,2.20,2.50,2.00,2,1,2.67,60,40,0,0,0,0,0,0,0.93,0.93,0.92,1.35,1.26,1.40,80,0,1,1,0,1,0,1,2,1,1,0,0,0,0,1,1,2,0,40,50,33,20,0,33,0
Çaykur Rizespor,Rizespor,2025/2026,Turkey,4,2,2,1,1,1,0,1,0,1,2,1,1,1,1.5,0.5,13,10,15,13,2,6,-4,8,4,4,1,1,3,3,-2,-2,180,180,180,60,60,60,2,1,1,1,0,1,2,1,1,1,1,0,10,7,3,12,6,6,49,53,46,44,28,16,13,6,7,31,22,9,54,31,23,0,0,0,1,0,1,-1,0,-1,0,0,0,3,2,1,1,0,1,0.75,1,0.5,2,2,2,0.5,0.5,0.5,1.5,1.5,1.5,0.25,0,0.5,0,0,0,0.25,0,0.5,3,2,2,1,0,0,2,1,1,0,0,0,1,1,1,1,0,0,1,2,2,3,4,4,0,1,1,2,2,2,1,1,1,1,2,2,75,50,50,25,0,0,100,50,50,0,0,0,50,50,50,50,0,0,25,50,50,75,100,100,0,50,50,100,100,100,50,50,50,50,100,100,1,0,0,0,0,0,1,0,0,25,0,0,0,0,0,50,0,0,25,50,0,0,50,50,50,25,0,50,50,50,50,25,50,0,3,2,1,75,100,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,75,100,50,25,0,50,2.50,3.50,1.50,3,3,3.00,75,50,25,25,25,0,0,0,1.17,1.38,0.97,1.54,1.70,1.38,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,3,25,0,50,50,50,50,0
Kayserispor,Kayserispor,2025/2026,Turkey,4,2,2,1,0,0,0,3,1,2,1,1,0,0.75,0.5,1,15,15,13,15,3,7,-4,10,6,4,1,2,5,2,-4,0,120,180,90,51,36,90,0,0,0,3,1,2,1,1,0,1,1,0,23,9,14,9,6,3,47,44,50,37,16,21,13,8,5,24,8,16,43,17,26,0,0,0,2,1,1,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,2.5,3,2,0.75,0.5,1,1.75,2.5,1,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,4,4,1,1,0,0,2,2,1,1,0,0,2,2,0,0,0,0,0,0,3,3,4,4,0,0,1,1,2,2,0,0,2,2,2,2,100,100,25,25,0,0,100,100,50,50,0,0,100,100,0,0,0,0,0,0,75,75,100,100,0,0,50,50,100,100,0,0,100,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,0,0,0,-38,0,0,0,75,50,100,25,50,0,25,50,0,2,1,1,50,50,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,5.75,4.50,7.00,2.25,3,1.50,100,100,100,75,50,25,0,0,1.10,1.08,1.13,1.58,1.92,1.24,50,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,4,75,50,100,25,50,0,0
Konyaspor,Konyaspor,2025/2026,Turkey,4,2,2,1,2,1,1,1,0,1,1,1,0,1.75,1.5,2,9,8,4,9,9,4,5,13,6,7,4,5,2,2,2,3,40,45,36,90,90,90,1,1,0,3,1,2,0,0,0,2,1,1,21,8,13,11,8,3,55,58,52,54,28,26,19,12,7,35,16,19,50,34,16,4,1,3,1,1,0,3,0,3,2,1,1,1,0,1,1,1,0,1.75,1.5,2,3.25,3,3.5,2.25,2,2.5,1,1,1,1.25,1,1.5,1,0.5,1.5,0.25,0.5,0,4,4,3,1,1,0,2,2,2,0,0,0,2,2,1,1,1,0,0,0,1,3,3,4,0,0,0,2,2,2,0,0,1,1,1,2,100,100,75,25,25,0,100,100,100,0,0,0,100,100,50,50,50,0,0,0,25,75,75,100,0,0,0,100,100,100,0,0,50,50,50,100,3,1,1,2,0,0,1,1,1,75,25,25,100,0,0,50,50,50,50,50,50,0,25,50,0,75,50,100,0,0,0,50,50,50,3,1,2,75,50,100,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,25,0,50,25,50,0,5.25,4.00,6.50,2.75,4,1.50,100,75,50,50,50,25,25,25,1.51,1.67,1.35,1.49,1.16,1.82,50,1,1,1,1,1,1,0,1,2,0,0,1,0,1,1,0,1,0,25,0,50,25,50,0,25
Antalyaspor,Antalyaspor,2025/2026,Turkey,5,2,3,0,3,1,2,0,0,0,2,1,1,1.8,1.5,2,5,9,3,5,6,5,1,11,6,5,3,3,3,2,0,1,75,60,90,90,60,134,1,0,1,3,2,1,1,0,1,4,2,2,20,10,10,9,3,6,46,43,47,45,24,21,23,11,12,22,13,9,59,27,32,4,3,1,3,2,1,1,1,0,2,1,1,2,1,1,1,0,1,1.6,2,1.33,2.2,3,1.67,1.2,1.5,1,1,1.5,0.67,1.4,2.5,0.67,0.8,1.5,0.33,0.6,1,0.33,5,3,3,0,0,0,2,2,2,0,0,0,3,1,1,0,0,0,0,2,2,5,5,5,0,0,0,2,2,2,0,2,2,3,3,3,100,60,60,0,0,0,100,100,100,0,0,0,100,33,33,0,0,0,0,40,40,100,100,100,0,0,0,100,100,100,0,67,67,100,100,100,4,2,1,2,2,1,2,0,0,80,40,20,100,100,50,67,0,0,60,50,67,-13,20,0,33,60,100,33,20,0,33,80,100,67,2,0,2,40,0,67,2,0,2,40,0,67,2,2,0,40,100,0,40,50,33,40,50,33,20,0,33,4.00,5.00,3.33,1.8,1.5,2.00,80,80,60,60,40,0,0,0,1.11,1.37,0.93,1.52,1.39,1.61,40,0,2,1,1,1,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,40,50,33,0
İstanbul Başakşehir FK,İstanbul Başakşehir,2025/2026,Turkey,4,2,2,1,1,0,1,2,2,0,1,0,1,1.25,1,1.5,11,13,9,11,4,3,1,7,2,5,1,3,1,2,0,1,90,180,60,120,180,90,2,1,1,2,1,1,1,1,0,3,1,2,19,10,9,11,5,6,52,54,50,38,23,15,13,8,5,25,15,10,56,33,23,1,1,0,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0,1.5,2,1,1.75,1,2.5,1,0.5,1.5,0.75,0.5,1,0.25,0.5,0,0.25,0.5,0,0,0,0,3,3,1,0,0,0,1,1,0,0,0,0,2,2,1,0,0,0,1,1,3,4,4,4,1,1,2,2,2,2,0,0,1,2,2,2,75,75,25,0,0,0,50,50,0,0,0,0,100,100,50,0,0,0,25,25,75,100,100,100,50,50,100,100,100,100,0,0,50,100,100,100,1,0,0,1,0,0,0,0,0,25,0,0,50,0,0,0,0,0,25,0,50,-9,50,50,50,50,50,50,25,50,0,75,50,100,4,2,2,100,100,100,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,75,50,100,0,0,0,4.75,5.00,4.50,2.75,2.5,3.00,100,75,75,50,50,50,25,25,1.11,1.30,0.92,1.27,1.10,1.45,25,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,1,50,100,0,25,0,50,25
Kasimpasa,Kasımpaşa,2025/2026,Turkey,5,2,3,0,1,0,1,1,0,1,3,2,1,0.8,0,1.33,12,16,7,12,4,6,-2,10,6,4,2,2,4,2,-2,0,113,90,134,75,45,134,2,0,2,2,1,1,2,1,1,2,1,1,20,9,11,16,5,11,47,53,44,63,28,35,13,6,7,50,22,28,92,39,53,2,0,2,4,2,2,-2,-2,0,1,0,1,2,1,1,2,1,1,1,0.5,1.33,2,3,1.33,0.8,1,0.67,1.2,2,0.67,1.2,1,1.33,0.4,0,0.67,0.8,1,0.67,4,2,2,1,1,0,2,1,1,1,1,0,2,1,1,0,0,0,1,3,3,4,4,5,0,1,1,1,1,2,1,2,2,3,3,3,80,40,40,20,20,0,100,50,50,50,50,0,67,33,33,0,0,0,20,60,60,80,80,100,0,50,50,50,50,100,33,67,67,100,100,100,3,2,1,1,1,0,2,1,1,60,40,20,50,50,0,67,33,33,20,0,33,-21,40,0,67,40,50,33,40,50,33,40,50,33,3,1,2,60,50,67,3,2,1,60,100,33,1,0,1,20,0,33,20,0,33,40,50,33,40,50,33,4.00,4.50,3.67,3.2,2.5,3.67,80,60,60,40,0,0,0,0,1.32,1.50,1.20,1.30,1.09,1.44,60,0,0,0,2,0,0,1,0,1,0,2,1,1,0,0,0,2,0,20,0,33,60,100,33,0
Gençlerbirliği,Gençlerbirliği,2025/2026,Turkey,5,2,3,0,0,0,0,0,0,0,5,2,3,0,0,0,18,17,17,18,3,9,-6,12,5,7,1,2,4,5,-3,-3,150,180,134,50,45,54,0,0,0,3,1,2,2,1,1,1,0,1,25,11,14,9,1,8,40,42,39,53,23,30,13,5,8,40,18,22,56,12,44,1,0,1,5,3,2,-4,-3,-1,0,0,0,3,1,2,2,1,1,0.6,0.5,0.67,2.4,2.5,2.33,0.6,0.5,0.67,1.8,2,1.67,1.2,1.5,1,0.2,0,0.33,1,1.5,0.67,5,3,3,1,0,0,2,1,1,1,0,0,3,2,2,0,0,0,0,2,2,4,5,5,0,1,1,1,2,2,0,1,1,3,3,3,100,60,60,20,0,0,100,50,50,50,0,0,100,67,67,0,0,0,0,40,40,80,100,100,0,50,50,50,100,100,0,33,33,100,100,100,3,2,1,1,1,1,2,1,0,60,40,20,50,50,50,67,33,0,0,0,0,-14,0,0,0,60,50,67,40,50,33,20,0,33,2,1,1,40,50,33,4,2,2,80,100,67,1,0,1,20,0,33,0,0,0,60,50,67,40,50,33,5.00,5.50,4.67,1.8,0.5,2.67,60,60,60,60,60,20,20,20,1.08,1.14,1.05,1.47,1.23,1.63,40,1,0,0,0,0,0,1,0,1,0,1,0,3,1,0,1,0,3,0,0,0,100,100,100,0
Samsunspor,Samsunspor,2025/2026,Turkey,5,3,2,0,2,1,1,2,1,1,1,1,0,1.6,1.33,2,8,7,6,8,5,4,1,9,6,3,3,2,3,1,0,1,90,90,90,113,90,180,2,1,1,3,2,1,1,1,0,2,1,1,30,13,17,14,8,6,58,62,53,61,35,26,18,9,9,43,26,17,69,40,29,1,1,0,2,1,1,-1,0,-1,1,1,0,2,1,1,2,1,1,1,1.33,0.5,1.8,2,1.5,1,1,1,0.8,1,0.5,0.6,0.67,0.5,0.2,0.33,0,0.4,0.33,0.5,4,3,2,0,0,0,2,2,2,0,0,0,2,1,0,0,0,0,1,2,3,5,5,5,1,1,1,3,3,3,0,1,2,2,2,2,80,60,40,0,0,0,67,67,67,0,0,0,100,50,0,0,0,0,20,40,60,100,100,100,33,33,33,100,100,100,0,50,100,100,100,100,3,0,0,2,0,0,1,0,0,60,0,0,67,0,0,50,0,0,40,33,50,-13,40,33,50,60,67,50,20,33,0,40,33,50,3,2,1,60,67,50,4,2,2,80,67,100,0,0,0,0,0,0,20,33,0,40,33,50,40,33,50,6.00,4.33,8.50,2.8,2.67,3.00,80,80,60,40,40,20,0,0,1.37,1.34,1.41,1.14,1.07,1.23,20,0,0,0,1,0,1,1,0,2,0,1,1,0,1,0,0,0,1,40,33,50,20,33,0,0
